State/System/Region,Requirement(MW) - Apr06,Availability(MW) - Apr06,Surplus / Deficit (MW) - Apr06,Surplus / Deficit (%) - Apr06
Chandigarh,195,195,0,0
Delhi,3515,3361,-154,-4.38
Haryana,3749,3321,-428,-11.42
Himachal Pradesh,673,655,-18,-2.67
Jammu & Kashmir,1400,1175,-225,-16.07
Punjab,5312,4281,-1031,-19.41
Rajasthan,4714,3936,-778,-16.5
Uttar Pradesh,7885,5886,-1999,-25.35
Uttaranchal,939,790,-149,-15.87
Northern Region,27512,23240,-4272,-15.53
Chhattisgarh,2157,1817,-340,-15.76
Gujarat,8993,7510,-1483,-16.49
Madhya Pradesh,5581,4008,-1573,-28.18
Maharashtra,15854,11956,-3898,-24.59
Daman & Diu,202,182,-20,-9.9
D.N.Haveli,366,326,-40,-10.93
Goa,367,367,0,0
Western Region,31049,24475,-6574,-21.17
Andhra Pradesh,8599,8140,-459,-5.34
Karnataka,6130,5611,-519,-8.47
Kerala,2672,2602,-70,-2.62
Tamil Nadu,8609,8214,-395,-4.59
Pondicherry,256,256,0,0
Lakshadweep,5,5,0,0
Southern Region,25165,23520,-1645,-6.54
Bihar,1399,1068,-331,-23.66
DVC,1494,1468,-26,-1.74
Jharkhand,588,566,-22,-3.74
Orissa,2425,2392,-33,-1.36
West Bengal,4703,4606,-97,-2.06
Sikkim,40,40,0,0
Andaman- Nicobar,40,32,-8,-20
Eastern Region,10491,9980,-511,-4.87
Arunachal Pradesh,69,68,-1,-1.45
Assam,717,526,-191,-26.64
Manipur,97,80,-17,-17.53
Meghalaya,291,173,-118,-40.55
Mizoram,66,58,-8,-12.12
Nagaland,67,54,-13,-19.4
Tripura,154,119,-35,-22.73
North-Eastern Region,1366,950,-416,-30.45
All India,95583,82165,-13418,-14.04
