"State/System/Region","Requirement(MW) - Jan06","Availability(MW) - Jan06","Surplus / Deficit (MW) - Jan06","Surplus / Deficit (%) - Jan06","Requirement(MW) April - Jan06","Availability(MW) April - Jan06","Surplus / Deficit (MW) April - Jan06","Surplus / Deficit (%) April - Jan06"
"Chandigarh",184,184,0,0,240,240,0,0
"Delhi",3516,3375,-141,-4.01,3722,3600,-122,-3.28
"Haryana",3791,3297,-494,-13.03,4333,3931,-402,-9.28
"Himachal Pradesh",788,695,-93,-11.8,788,749,-39,-4.95
"Jammu & Kashmir",1450,1176,-274,-18.9,1450,1225,-225,-15.52
"Punjab",4811,4196,-615,-12.78,7731,6158,-1573,-20.35
"Rajasthan",5588,4822,-766,-13.71,5588,4822,-766,-13.71
"Uttar Pradesh",7772,5913,-1859,-23.92,8175,6588,-1587,-19.41
"Uttaranchal",964,821,-143,-14.83,991,857,-134,-13.52
"Northern Region",26853,23785,-3068,-11.43,28154,25200,-2954,-10.49
"Chhattisgarh",1851,1634,-217,-11.72,1889,1737,-152,-8.05
"Gujarat",8774,7264,-1510,-17.21,9783,7610,-2173,-22.21
"Madhya Pradesh",6433,4758,-1675,-26.04,6558,5136,-1422,-21.68
"Maharashtra",15935,11117,-4818,-30.24,16069,12360,-3709,-23.08
"Daman & Diu",167,167,0,0,324,324,0,0
"D.N.Haveli",318,318,0,0,387,387,0,0
"Goa",326,326,0,0,354,354,0,0
"Western Region",31371,22869,-8502,-27.1,31772,25257,-6515,-20.51
"Andhra Pradesh",8317,8154,-163,-1.96,8317,8154,-163,-1.96
"Karnataka",5412,5393,-19,-0.35,5574,5442,-132,-2.37
"Kerala",2496,2468,-28,-1.12,2539,2519,-20,-0.79
"Tamil Nadu",7640,7443,-197,-2.58,7989,7865,-124,-1.55
"Pondicherry",225,225,0,0,250,250,0,0
"Lakshadweep",6,6,0,0,6,6,0,0
"Southern Region",23890,21915,-1975,-8.27,23890,21915,-1975,-8.27
"Bihar",1300,990,-310,-23.85,1300,1116,-184,-14.15
"DVC",1441,1426,-15,-1.04,1441,1426,-15,-1.04
"Jharkhand",653,605,-48,-7.35,669,623,-46,-6.88
"Orissa",2417,2392,-25,-1.03,2432,2396,-36,-1.48
"West Bengal",4172,3998,-174,-4.17,4218,4111,-107,-2.54
"Sikkim",40,40,0,0,47,45,-2,-4.26
"Andaman- Nicobar",40,32,-8,-20,40,32,-8,-20
"Eastern Region",9546,9001,-545,-5.71,9546,9160,-386,-4.04
"Arunachal Pradesh",75,73,-2,-2.67,75,73,-2,-2.67
"Assam",733,673,-60,-8.19,733,673,-60,-8.19
"Manipur",97,97,0,0,113,109,-4,-3.54
"Meghalaya",254,193,-61,-24.02,266,205,-61,-22.93
"Mizoram",73,72,-1,-1.37,76,72,-4,-5.26
"Nagaland",87,87,0,0,90,87,-3,-3.33
"Tripura",157,120,-37,-23.57,171,155,-16,-9.36
"North-Eastern Region",1308,1139,-169,-12.92,1329,1192,-137,-10.31
"All India",92968,78709,-14259,-15.34,92968,80631,-12337,-13.27
