"State/System/Region","Requirement(MW) - Jun10","Availability(MW) - Jun10","Surplus / Deficit (MW) - Jun10","Surplus / Deficit (%) - Jun10","Requirement(MW) April - Jun10","Availability(MW) April - Jun10","Surplus / Deficit (MW) April - Jun10","Surplus / Deficit (%) April - Jun10"
"Chandigarh",301,301,0,0,301,301,0,0
"Delhi",4810,4739,-71,-1.48,4810,4739,-71,-1.48
"Haryana",5822,5410,-412,-7.08,5822,5410,-412,-7.08
"Himachal Pradesh",1027,1016,-11,-1.07,1083,1043,-40,-3.69
"Jammu & Kashmir",2130,1486,-644,-30.23,2130,1503,-627,-29.44
"Punjab",8475,7764,-711,-8.39,8475,7764,-711,-8.39
"Rajasthan",6215,6058,-157,-2.53,6821,6203,-618,-9.06
"Uttar Pradesh",10629,9386,-1243,-11.69,10662,9386,-1276,-11.97
"Uttarakhand",1485,1367,-118,-7.95,1494,1367,-127,-8.5
"Northern Region",35094,33015,-2079,-5.92,35094,33015,-2079,-5.92
"Chhattisgarh",2422,2361,-61,-2.52,2913,2759,-154,-5.29
"Gujarat",9628,8890,-738,-7.67,10181,9277,-904,-8.88
"Madhya Pradesh",6311,5064,-1247,-19.76,6880,5514,-1366,-19.85
"Maharashtra",18825,14137,-4688,-24.9,19766,15402,-4364,-22.08
"Daman & Diu",229,229,0,0,239,239,0,0
"Dadra  & Nagar Haveli",502,472,-30,-5.98,502,490,-12,-2.39
"Goa",484,411,-73,-15.08,544,453,-91,-16.73
"Western Region",36034,29000,-7034,-19.52,39560,32142,-7418,-18.75
"Andhra Pradesh",10846,9041,-1805,-16.64,12018,10396,-1622,-13.5
"Karnataka",6818,5950,-868,-12.73,7642,6627,-1015,-13.28
"Kerala",3000,2815,-185,-6.17,3052,2916,-136,-4.46
"Tamil Nadu",11728,9678,-2050,-17.48,11728,9940,-1788,-15.25
"Puducherry",303,277,-26,-8.58,318,289,-29,-9.12
"Lakshadweep  #",6,6,0,0,6,6,0,0
"Southern Region",30956,26536,-4420,-14.28,32214,29054,-3160,-9.81
"Bihar",1920,1443,-477,-24.84,2073,1451,-622,-30
"DVC",1865,1848,-17,-0.91,1873,1848,-25,-1.33
"Jharkhand",754,746,-8,-1.06,964,948,-16,-1.66
"Orissa",3041,3041,0,0,3046,3041,-5,-0.16
"West Bengal",5772,5722,-50,-0.87,6162,5722,-440,-7.14
"Sikkim",81,81,0,0,81,81,0,0
"Andaman- Nicobar #",40,32,-8,-20,40,32,-8,-20
"Eastern Region",12902,12147,-755,-5.85,13317,12147,-1170,-8.79
"Arunachal Pradesh",96,69,-27,-28.12,96,73,-23,-23.96
"Assam",899,843,-56,-6.23,899,843,-56,-6.23
"Manipur",90,87,-3,-3.33,90,89,-1,-1.11
"Meghalaya",280,190,-90,-32.14,281,191,-90,-32.03
"Mizoram",70,57,-13,-18.57,70,57,-13,-18.57
"Nagaland",100,95,-5,-5,100,95,-5,-5
"Tripura",185,149,-36,-19.46,185,149,-36,-19.46
"North-Eastern Region",1720,1451,-269,-15.64,1720,1451,-269,-15.64
"All India",116706,102149,-14557,-12.47,119437,103003,-16434,-13.76
