State/System/Region,Requirement(MW) - Nov13,Availability(MW) - Nov13,Surplus / Deficit (MW) - Nov13,Surplus / Deficit (%) - Nov13,Requirement(MW) April13 -Nov13,Availability(MW) April13 -Nov13,Surplus / Deficit (MW) April13 -Nov13,Surplus / Deficit (%) April13 -Nov13
Chandigarh,185,185,0,0.0,345,345,0,0.0
Delhi,"3,576","3,576",0,0.0,"6,035","5,653",-382,-6.3
Haryana,"5,626","5,626",0,0.0,"8,114","8,114",0,0.0
Himachal Pradesh,"1,319","1,319",0,0.0,"1,561","1,319",-242,-15.5
Jammu & Kashmir,"2,385","1,909",-476,-20.0,"2,450","1,909",-541,-22.1
Punjab,"5,154","5,154",0,0.0,"10,089","8,733","-1,356",-13.4
Rajasthan,"8,627","8,627",0,0.0,"8,929","8,913",-16,-0.2
Uttar Pradesh,"12,327","12,327",0,0.0,"13,089","12,327",-762,-5.8
Uttarakhand,"1,611","1,611",0,0.0,"1,760","1,709",-51,-2.9
Northern Region,"35,851","35,526",-325,-0.9,"45,934","42,774","-3,160",-6.9
Chattisgarh,"2,624","2,622",-2,-0.1,"3,365","3,320",-45,-1.3
Gujarat,"11,434","11,422",-12,-0.1,"12,201","12,201",0,0.0
Madhya Pradesh,"9,579","9,570",-9,-0.1,"9,579","9,570",-9,-0.1
Maharashtra,"17,343","16,608",-735,-4.2,"17,381","16,670",-711,-4.1
Daman & Diu ,316,291,-25,-7.9,316,291,-25,-7.9
Dadar Nagar Haveli,650,650,0,0.0,661,661,0,0.0
Goa,529,529,0,0.0,529,529,0,0.0
Western Region,"40,730","40,006",-724,-1.8,"40,730","40,006",-724,-1.8
Andhra Pradesh,"10,669","10,591",-78,-0.7,"14,072","11,914","-2,158",-15.3
Karnataka,"9,149","8,167",-982,-10.7,"9,934","8,256","-1,678",-16.9
Kerala,"3,589","3,286",-303,-8.4,"3,589","3,286",-303,-8.4
Tamil Nadu,"12,043","10,697","-1,346",-11.2,"13,380","11,877","-1,503",-11.2
Pondicherry,313,312,-1,-0.3,351,332,-19,-5.4
Lakshadweep,8,8,0,0.0,9,9,0,0.0
Southern Region,"35,222","31,786","-3,436",-9.8,"39,015","34,151","-4,864",-12.5
Bihar,"2,462","2,312",-150,-6.1,"2,465","2,312",-153,-6.2
DVC,"2,268","2,253",-15,-0.7,"2,745","2,745",0,0.0
Jharkhand,996,986,-10,-1.0,"1,111","1,069",-42,-3.8
Orissa,"3,359","3,319",-40,-1.2,"3,727","3,722",-5,-0.1
West Bengal ,"6,406","6,366",-40,-0.6,"7,325","7,290",-35,-0.5
Sikkim,85,85,0,0.0,90,90,0,0.0
Andaman- Nicobar,40,32,-8,-20.0,40,32,-8,-20.0
Eastern Region,"14,556","14,318",-238,-1.6,"15,885","15,528",-357,-2.2
Arunachal Pradesh,120,120,0,0.0,120,120,0,0.0
Assam,"1,169","1,155",-14,-1.2,"1,329","1,220",-109,-8.2
Manipur,124,123,-1,-0.8,125,124,-1,-0.8
Meghalaya,300,298,-2,-0.7,300,298,-2,-0.7
Mizoram,66,65,-1,-1.5,70,68,-2,-2.9
Nagaland,96,96,0,0.0,109,103,-6,-5.5
Tripura,208,207,-1,-0.5,254,250,-4,-1.6
North-Eastern Region,"2,046","1,966",-80,-3.9,"2,164","2,048",-116,-5.4
All India ,"1,28,405","1,23,602","-4,803",-3.7,"1,35,561","1,29,815","-5,746",-4.2
,,,,,,,,
