State/System/Region,Requirement(MW) - Mar14,Availability(MW) - Mar14,Surplus / Deficit (MW) - Mar14,Surplus / Deficit (%) - Mar14,Requirement(MW) April13 -Mar14,Availability(MW) April13 -Mar14,Surplus / Deficit (MW) April13 -Mar14,Surplus / Deficit (%) April13 -Mar14
Chandigarh,199.00,199.00,0.00,0.00,345.00,345.00,0.00,0.00
Delhi,3604.00,3444.00,-160.00,-4.40,6035.00,5653.00,-382.00,-6.30
Haryana,5395.00,5395.00,0.00,0.00,8114.00,8114.00,0.00,0.00
Himachal Pradesh,1421.00,1364.00,-57.00,-4.00,1561.00,1392.00,-169.00,-10.80
Jammu & Kashmir,2450.00,1933.00,-517.00,-21.10,2500.00,1998.00,-502.00,-20.10
Punjab,5476.00,5476.00,0.00,0.00,10089.00,8733.00,-1356.00,-13.40
Rajasthan,9354.00,9198.00,-156.00,-1.70,10047.00,10038.00,-9.00,-0.10
Uttar Pradesh,11436.00,11211.00,-225.00,-2.00,13089.00,12327.00,-762.00,-5.80
Uttarakhand,1714.00,1714.00,0.00,0.00,1826.00,1826.00,0.00,0.00
Northern Region,38813.00,35829.00,-2984.00,-7.70,45934.00,42774.00,-3160.00,-6.90
Chattisgarh,3324.00,3289.00,-35.00,-1.10,3365.00,3320.00,-45.00,-1.30
Gujarat,11778.00,11774.00,-4.00,0.00,12201.00,12201.00,0.00,0.00
Madhya Pradesh,6767.00,6765.00,-2.00,0.00,9716.00,9716.00,0.00,0.00
Maharashtra,18260.00,17317.00,-943.00,-5.20,19276.00,17621.00,-1655.00,-8.60
Daman & Diu,297.00,297.00,0.00,0.00,322.00,297.00,-25.00,-7.80
Dadar Nagar Haveli,646.00,646.00,0.00,0.00,661.00,661.00,0.00,0.00
Goa,479.00,465.00,-14.00,-2.90,529.00,529.00,0.00,0.00
Western Region,40375.00,39768.00,-607.00,-1.50,41335.00,40331.00,-1004.00,-2.40
Andhra Pradesh,13744.00,13162.00,-582.00,-4.20,14072.00,13162.00,-910.00,-6.50
Karnataka,9894.00,9168.00,-726.00,-7.30,9940.00,9223.00,-717.00,-7.20
Kerala,3671.00,3573.00,-98.00,-2.70,3671.00,3573.00,-98.00,-2.70
Tamil Nadu,13522.00,12355.00,-1167.00,-8.60,13522.00,12492.00,-1030.00,-7.60
Pondicherry,334.00,333.00,-1.00,-0.30,351.00,333.00,-18.00,-5.10
Lakshadweep,8.00,8.00,0.00,0.00,9.00,9.00,0.00,0.00
Southern Region,38464.00,36048.00,-2416.00,-6.30,39015.00,36048.00,-2967.00,-7.60
Bihar,2335.00,2115.00,-220.00,-9.40,2465.00,2312.00,-153.00,-6.20
DVC,2451.00,2441.00,-10.00,-0.40,2745.00,2745.00,0.00,0.00
Jharkhand,1074.00,1044.00,-30.00,-2.80,1111.00,1069.00,-42.00,-3.80
Orissa,3702.00,3672.00,-30.00,-0.80,3727.00,3722.00,-5.00,-0.10
West Bengal,7314.00,7294.00,-20.00,-0.30,7325.00,7294.00,-31.00,-0.40
Sikkim,85.00,85.00,0.00,0.00,90.00,90.00,0.00,0.00
Andaman- Nicobar,40.00,32.00,-8.00,-20.00,40.00,32.00,-8.00,-20.00
Eastern Region,15888.00,15598.00,-290.00,-1.80,15888.00,15598.00,-290.00,-1.80
Arunachal Pradesh,123.00,122.00,-1.00,-0.80,125.00,124.00,-1.00,-0.80
Assam,1218.00,1164.00,-54.00,-4.40,1329.00,1220.00,-109.00,-8.20
Manipur,134.00,133.00,-1.00,-0.70,134.00,133.00,-1.00,-0.70
Meghalaya,286.00,278.00,-8.00,-2.80,343.00,330.00,-13.00,-3.80
Mizoram,83.00,81.00,-2.00,-2.40,84.00,82.00,-2.00,-2.40
Nagaland,100.00,99.00,-1.00,-1.00,109.00,106.00,-3.00,-2.80
Tripura,245.00,245.00,0.00,0.00,254.00,250.00,-4.00,-1.60
North-Eastern Region,2110.00,1995.00,-115.00,-5.50,2164.00,2048.00,-116.00,-5.40
All India,135650.00,129238.00,-6412.00,-4.70,135918.00,129815.00,-6103.00,-4.50
