State/System/Region,Requirement(MW)-June2014,Availability(MW)-June2014,Surplus / Deficit (MW)-June2014,Surplus / Deficit (%)-June2014,Requirement(MW)-April2014-June2014,Availability(MW)-April2014-June2014,Surplus / Deficit (MW)-April2014-June2014,Surplus / Deficit (%)-April2014-June2014
Chandigarh,352,352,0,0,352,352,0,0
Delhi,"5,533","5,533",0,0,"5,533","5,533",0,0
Haryana,"8,056","8,056",0,0,"8,056","8,056",0,0
Himachal Pradesh,"1,281","1,281",0,0,"1,316","1,295",-21,-1.6
Jammu and Kashmir,"2,312","1,850",-462,-20,"2,422","1,938",-484,-20
Punjab,"10,173","10,023",-150,-1.5,"10,173","10,023",-150,-1.5
Rajasthan,"9,131","9,131",0,0,"9,131","9,131",0,0
Uttar Pradesh,"15,670","11,535","-4,135",-26.4,"15,670","11,821","-3,849",-24.6
Uttarakhand,"1,833","1,833",0,0,"1,833","1,833",0,0
Northern Region,"51,112","47,232","-3,880",-7.6,"51,112","47,232","-3,880",-7.6
Chattisgarh,"3,309","3,308",-1,0,"3,450","3,350",-100,-2.9
Gujarat,"13,580","13,428",-152,-1.1,"13,580","13,499",-81,-0.6
Madhya Pradesh,"6,995","6,681",-314,-4.5,"7,388","7,033",-355,-4.8
Maharashtra,"18,962","18,658",-304,-1.6,"19,749","18,658","-1,091",-5.5
Daman and Diu ,297,297,0,0,297,297,0,0
Dadar Nagar Haveli,679,679,0,0,679,679,0,0
Goa,501,475,-26,-5.2,501,489,-12,-2.4
Western Region,"41,447","40,731",-716,-1.7,"43,170","42,365",-805,-1.9
Andhra Pradesh,"7,144","6,158",-986,-13.8,"7,144","6,158",-986,-13.8
Telenagana,"6,484","5,661",-823,-12.7,"6,484","5,661",-823,-12.7
Karnataka,"9,388","8,261","-1,127",-12,"10,001","9,503",-498,-5
Kerala,"3,660","3,345",-315,-8.6,"3,760","3,495",-265,-7
Tamil Nadu,"13,663","13,498",-165,-1.2,"13,663","13,498",-165,-1.2
Puducherry,389,344,-45,-11.6,389,348,-41,-10.5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,"37,001","34,578","-2,423",-6.5,"39,094","35,698","-3,396",-8.7
Bihar,"2,439","2,289",-150,-6.2,"2,560","2,410",-150,-5.9
DVC,"2,540","2,520",-20,-0.8,"2,610","2,590",-20,-0.8
Jharkhand,"1,031","1,001",-30,-2.9,"1,060","1,037",-23,-2.2
Odisha,"3,793","3,723",-70,-1.8,"3,814","3,764",-50,-1.3
West Bengal ,"7,209","7,159",-50,-0.7,"7,544","7,524",-20,-0.3
Sikkim,78,78,0,0,80,80,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,"16,354","16,094",-260,-1.6,"16,628","16,342",-286,-1.7
Arunachal Pradesh,111,110,-1,-0.9,115,111,-4,-3.5
Assam,"1,343","1,215",-128,-9.5,"1,343","1,230",-113,-8.4
Manipur,118,117,-1,-0.8,118,117,-1,-0.8
Meghalaya,294,289,-5,-1.7,299,296,-3,-1
Mizoram,75,74,-1,-1.3,77,76,-1,-1.3
Nagaland,115,111,-4,-3.5,115,111,-4,-3.5
Tripura,235,230,-5,-2.1,246,246,0,0
North-Eastern Region,"2,252","1,998",-254,-11.3,"2,252","2,045",-207,-9.2
All India ,"148,166","140,633","-7,533",-5.1,"148,166","140,633","-7,533",-5.1
