State/System/Region,Requirement(MW)-May2014,Availability(MW)-May2014,Surplus / Deficit (MW) -May2014,Surplus / Deficit (%)-May2014,Requirement(MW)-April2014-May2014,Availability(MW)-April2014-May2014,Surplus / Deficit (MW)-April2014-May2014,Surplus / Deficit (%)-April2014-May2014
Chandigarh,300,300,0,0,300,300,0,0
Delhi,"5,358","5,338",-20,-0.4,"5,358","5,338",-20,-0.4
Haryana,"6,749","6,749",0,0,"6,749","6,749",0,0
Himachal Pradesh,"1,233","1,233",0,0,"1,316","1,295",-21,-1.6
Jammu and Kashmir,"2,384","1,907",-477,-20,"2,422","1,938",-484,-20
Punjab,"7,052","7,052",0,0,"7,052","7,052",0,0
Rajasthan,"8,844","8,727",-117,-1.3,"8,844","8,727",-117,-1.3
Uttar Pradesh,"15,506","11,821","-3,685",-23.8,"15,506","11,821","-3,685",-23.8
Uttarakhand,"1,791","1,716",-75,-4.2,"1,791","1,716",-75,-4.2
Northern Region,"44,147","41,007","-3,140",-7.1,"44,147","41,007","-3,140",-7.1
Chattisgarh,"3,169","3,165",-4,-0.1,"3,450","3,350",-100,-2.9
Gujarat,"13,105","13,105",0,0,"13,499","13,499",0,0
Madhya Pradesh,"7,388","6,862",-526,-7.1,"7,388","7,033",-355,-4.8
Maharashtra,"19,463","18,563",-900,-4.6,"19,749","18,585","-1,164",-5.9
Daman and Diu ,297,297,0,0,297,297,0,0
Dadar Nagar Haveli,646,646,0,0,646,646,0,0
Goa,444,438,-6,-1.4,489,489,0,0
Western Region,"42,486","41,050","-1,436",-3.4,"43,170","42,365",-805,-1.9
Andhra Pradesh,"12,305","11,329",-976,-7.9,"13,773","12,446","-1,327",-9.6
Karnataka,"9,285","8,499",-786,-8.5,"10,001","9,503",-498,-5
Kerala,"3,678","3,388",-290,-7.9,"3,760","3,495",-265,-7
Tamil Nadu,"13,019","12,671",-348,-2.7,"13,486","12,671",-815,-6
Puducherry,371,348,-23,-6.2,371,348,-23,-6.2
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,"36,454","34,409","-2,045",-5.6,"39,094","35,698","-3,396",-8.7
Bihar,"2,380","2,230",-150,-6.3,"2,560","2,410",-150,-5.9
DVC,"2,610","2,590",-20,-0.8,"2,610","2,590",-20,-0.8
Jharkhand,991,961,-30,-3,"1,060","1,037",-23,-2.2
Odisha,"3,774","3,744",-30,-0.8,"3,814","3,764",-50,-1.3
West Bengal ,"7,544","7,524",-20,-0.3,"7,544","7,524",-20,-0.3
Sikkim,78,78,0,0,80,80,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,"16,628","16,342",-286,-1.7,"16,628","16,342",-286,-1.7
Arunachal Pradesh,115,111,-4,-3.5,115,111,-4,-3.5
Assam,"1,332","1,212",-120,-9,"1,343","1,230",-113,-8.4
Manipur,110,109,-1,-0.9,115,112,-3,-2.6
Meghalaya,299,296,-3,-1,299,296,-3,-1
Mizoram,75,73,-2,-2.7,77,76,-1,-1.3
Nagaland,105,104,-1,-1,105,104,-1,-1
Tripura,236,233,-3,-1.3,246,246,0,0
North-Eastern Region,"2,140","1,986",-154,-7.2,"2,197","2,045",-152,-6.9
All India ,"141,855","134,794","-7,061",-5,"141,886","134,972","-6,914",-4.9
