State/System/Region,Requirement(MW)-Sept2014,Availability(MW)-Sept2014,Surplus / Deficit (MW)  -Sept2014,Surplus / Deficit (%)-Sept2014,Requirement(MW)-April2014-Sept2014,Availability(MW)-April2014-Sept2014,Surplus / Deficit (MW)-April2014-Sept2014,Surplus / Deficit (%)-April2014-Sept2014
Chandigarh,283,283,0,0,367,367,0,0
Delhi,4882,4882,0,0,6006,5925,-81,-1.3
Haryana,8375,8227,-148,-1.8,9152,9152,0,0
Himachal Pradesh,1286,1286,0,0,1316,1313,-3,-0.2
Jammu and Kashmir,2336,1869,-467,-20,2422,1938,-484,-20
Punjab,8861,8861,0,0,11534,10023,-1511,-13.1
Rajasthan,10188,9474,-714,-7,10188,10077,-111,-1.1
Uttar Pradesh,14234,11844,-2390,-16.8,15670,11968,-3702,-23.6
Uttarakhand,1883,1813,-70,-3.7,1883,1833,-50,-2.7
Northern Region,46831,43931,-2900,-6.2,51977,47642,-4335,-8.3
Chattisgarh,3480,3121,-359,-10.3,3480,3350,-130,-3.7
Gujarat,13184,13136,-48,-0.4,13603,13499,-104,-0.8
Madhya Pradesh,8159,8159,0,0,8159,8159,0,0
Maharashtra,20004,18565,-1439,-7.2,20004,18658,-1346,-6.7
Daman and Diu ,297,297,0,0,297,297,0,0
Dadar Nagar Haveli,635,635,0,0,679,679,0,0
Goa,488,444,-44,-9,501,489,-12,-2.4
Western Region,44166,42757,-1409,-3.2,44166,42757,-1409,-3.2
Andhra Pradesh,6445,6380,-65,-1,7144,6549,-595,-8.3
Telangana,7557,6578,-979,-13,7707,6630,-1077,-14
Karnataka,8300,7973,-327,-3.9,10001,9503,-498,-5
Kerala,3557,3403,-154,-4.3,3760,3495,-265,-7
Tamil Nadu,12917,12899,-18,-0.1,13663,13498,-165,-1.2
Puducherry,361,336,-25,-6.9,389,348,-41,-10.5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,35639,35238,-401,-1.1,39094,35698,-3396,-8.7
Bihar,2922,2722,-200,-6.8,2922,2722,-200,-6.8
DVC,2494,2454,-40,-1.6,2653,2590,-63,-2.4
Jharkhand,1046,986,-60,-5.7,1060,1037,-23,-2.2
Odisha,3760,3710,-50,-1.3,3814,3764,-50,-1.3
West Bengal ,7368,7288,-80,-1.1,7544,7524,-20,-0.3
Sikkim,80,80,0,0,80,80,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,16909,16609,-300,-1.8,16909,16609,-300,-1.8
Arunachal Pradesh,139,115,-24,-17.3,139,116,-23,-16.5
Assam,1350,1207,-143,-10.6,1379,1242,-137,-9.9
Manipur,135,126,-9,-6.7,141,138,-3,-2.1
Meghalaya,310,280,-30,-9.7,310,297,-13,-4.2
Mizoram,86,78,-8,-9.3,86,82,-4,-4.7
Nagaland,117,116,-1,-0.9,121,117,-4,-3.3
Tripura,260,256,-4,-1.5,260,256,-4,-1.5
North-Eastern Region,2380,2112,-268,-11.3,2380,2112,-268,-11.3
All India ,145925,140647,-5278,-3.6,148166,141160,-7006,-4.7
