State /System /Region,October_2015-Peak Demand-( MW ),October_2015-Peak Met-( MW ),October_2015-Surplus / Deficit (-)-( MW ),October_2015-Surplus / Deficit (-)-( % ),April_2015-October_2015-Peak Demand-( MW ),April_2015-October_2015-Peak Met-( MW ),April_2015-October_2015-Surplus / Deficit (-)-( MW ),April_2015-October_2015-Surplus / Deficit (-)-( % )
Chandigarh,237,237,0,0,342,342,0,0
Delhi,4481,4481,0,0,5846,5846,0,0
Haryana,8215,7962,-253,-3.079732197,9113,9113,0,0
Himachal Pradesh,1338,1338,0,0,1379,1379,0,0
Jammu & Kashmir,2362,2004,-358,-15.15664691,2437,2026,-411,-16.86499795
Punjab,8093,8093,0,0,10852,10852,0,0
Rajasthan,9453,9453,0,0,10961,10961,0,0
Uttar Pradesh,16759,13134,-3625,-21.63016886,16988,13521,-3467,-20.40852366
Uttarakhand,1865,1865,0,0,1986,1948,-38,-1.913393756
Northern Region,47515,45940,-1575,-3.314742713,54474,50622,-3852,-7.071263355
Chattisgarh,3912,3757,-155,-3.962167689,3929,3757,-172,-4.37770425
Gujarat,14092,14062,-30,-0.212886744,14495,14448,-47,-0.324249741
Madhya Pradesh,9975,9975,0,0,9975,9975,0,0
Maharashtra,20973,20594,-379,-1.8070853,20973,20594,-379,-1.8070853
Daman & Diu ,307,307,0,0,307,307,0,0
Dadar Nagar Haveli,729,729,0,0,740,740,0,0
Goa,448,448,0,0,583,552,-31,-5.317324185
Western Region,48640,48199,-441,-0.906661184,48640,48199,-441,-0.906661184
Andhra Pradesh,6944,6913,-31,-0.446428571,7032,6913,-119,-1.692263936
Telangana,6854,6849,-5,-0.072950102,6854,6849,-5,-0.072950102
Karnataka,9255,7460,-1795,-19.39492166,9463,9335,-128,-1.352636585
Kerala,3469,3469,0,0,3762,3632,-130,-3.455608719
Tamil Nadu,12965,12929,-36,-0.277670652,13580,13505,-75,-0.552282769
Puducherry,342,332,-10,-2.923976608,368,350,-18,-4.891304348
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,36532,34778,-1754,-4.801270119,37801,36786,-1015,-2.68511415
Bihar,3735,3435,-300,-8.032128514,3735,3435,-300,-8.032128514
DVC,2324,2324,0,0,2814,2794,-20,-0.710732054
Jharkhand,1103,1103,0,0,1115,1103,-12,-1.076233184
Odisha,4015,4015,0,0,4015,4015,0,0
West Bengal ,7798,7755,-43,-0.551423442,7905,7885,-20,-0.253004428
Sikkim,95,95,0,0,95,95,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18076,17972,-104,-0.575348528,18076,17972,-104,-0.575348528
Arunachal Pradesh,129,125,-4,-3.100775194,138,125,-13,-9.420289855
Assam,1491,1329,-162,-10.86519115,1491,1330,-161,-10.79812207
Manipur,146,146,0,0,160,153,-7,-4.375
Meghalaya,323,322,-1,-0.309597523,400,322,-78,-19.5
Mizoram,81,81,0,0,90,89,-1,-1.111111111
Nagaland,122,119,-3,-2.459016393,140,138,-2,-1.428571429
Tripura,269,269,0,0,300,269,-31,-10.33333333
North-Eastern Region,2401,2301,-100,-4.164931279,2573,2356,-217,-8.43373494
All India ,150804.8087,147123.772,-3681.0367,-2.440927934,153366,148463,-4903,-3.196927611
