State /System /Region,August_2015-Peak Demand-( MW ),August_2015-Peak Met-( MW ),August_2015-Surplus / Deficit (-)-( MW ),August_2015-Surplus / Deficit (-)-( % ),April_2015 -August_2015-Peak Demand-( MW ),April_2015-August_2015-Peak Met-( MW ),April_2015-August_2015-Surplus / Deficit (-)-( MW ),April_2015-August_2015-Surplus / Deficit (-)-( % )
Chandigarh,330,330,0,0,342,342,0,0
Delhi,5434,5434,0,0,5846,5846,0,0
Haryana,8871,8871,0,0,8871,8871,0,0
Himachal Pradesh,1312,1312,0,0,1379,1379,0,0
Jammu & Kashmir,2237,1898,-339,-15.2,2437,1987,-450,-18.5
Punjab,10571,10571,0,0,10852,10852,0,0
Rajasthan,10080,10080,0,0,10080,10080,0,0
Uttar Pradesh,16872,12929,-3943,-23.4,16872,13521,-3351,-19.9
Uttarakhand,1928,1853,-75,-3.9,1986,1948,-38,-1.9
Northern Region,54474,50230,-4244,-7.8,54474,50230,-4244,-7.8
Chattisgarh,3622,3494,-128,-3.5,3788,3677,-111,-2.9
Gujarat,14422,14391,-31,-0.2,14443,14417,-26,-0.2
Madhya Pradesh,7484,7477,-7,-0.1,7484,7477,-7,-0.1
Maharashtra,18571,18447,-124,-0.7,19933,19722,-211,-1.1
Daman & Diu ,307,307,0,0,307,307,0,0
Dadar Nagar Haveli,719,719,0,0,740,740,0,0
Goa,422,385,-37,-8.8,583,552,-31,-5.3
Western Region,42024,41781,-243,-0.6,43530,43232,-298,-0.7
Andhra Pradesh,6500,6500,0,0,7032,6847,-185,-2.6
Telangana,6603,6589,-14,-0.2,6813,6661,-152,-2.2
Karnataka,8772,8208,-564,-6.4,9463,9335,-128,-1.4
Kerala,3562,3411,-151,-4.2,3762,3632,-130,-3.5
Tamil Nadu,13522,13416,-106,-0.8,13580,13448,-132,-1
Puducherry,344,343,-1,-0.3,357,350,-7,-2
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,37136,35892,-1244,-3.3,37801,36786,-1015,-2.7
Bihar,3221,3061,-160,-5,3221,3084,-137,-4.3
DVC,2381,2351,-30,-1.3,2814,2794,-20,-0.7
Jharkhand,1115,1090,-25,-2.2,1115,1090,-25,-2.2
Odisha,3947,3929,-18,-0.5,3947,3929,-18,-0.5
West Bengal ,7397,7355,-42,-0.6,7905,7885,-20,-0.3
Sikkim,83,83,0,0,84,84,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,17363,17149,-214,-1.2,17934,17841,-93,-0.5
Arunachal Pradesh,116,115,-1,-0.9,138,115,-23,-16.7
Assam,1412,1330,-82,-5.8,1487,1330,-157,-10.6
Manipur,150,148,-2,-1.3,160,153,-7,-4.4
Meghalaya,322,322,0,0,400,322,-78,-19.5
Mizoram,85,84,-1,-1.2,85,84,-1,-1.2
Nagaland,133,132,-1,-0.8,140,138,-2,-1.4
Tripura,262,261,-1,-0.4,300,261,-39,-13
North-Eastern Region,2437,2283,-154,-6.3,2573,2356,-217,-8.4
All India ,149492,146124,-3368,-2.3,149492,146124,-3368,-2.3
