State /System /Region,August_2016-Peak Demand-( MW ),August_2016-Peak Met-( MW ),August_2016-Surplus / Deficit (-)-( MW ),August_2016-Surplus / Deficit (-)-( % ),April_2016-August_2016-Peak Demand-( MW ),April_2016-August_2016-Peak Met-( MW ),April_2016-August_2016-Surplus / Deficit (-)-( MW ),April_2016-August_2016-Surplus / Deficit (-)-( % )
Chandigarh,350,350,0,0,361,361,0,0
Delhi,5707,5707,0,0,6342,6261,-81,-1.277199622
Haryana,8984,8984,0,0,9262,9262,0,0
Himachal Pradesh,1293,1293,0,0,1330,1330,0,0
Jammu & Kashmir,2367,2008,-359,-15.1668779,2478,2102,-376,-15.17352704
Punjab,11204,11204,0,0,11408,11408,0,0
Rajasthan,7807,7807,0,0,9906,9906,0,0
Uttar Pradesh,15614.3175,14690,-924.3175,-5.919679166,16498,15501,-997,-6.043156746
Uttarakhand,1963,1888,-75,-3.820682629,2020,1945,-75,-3.712871287
Northern Region,51426,50081,-1345,-2.615408548,53372,52612,-760,-1.423967623
Chattisgarh,3848.346588,3827.356588,-20.99,-0.545429044,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,12563.8754,12563.8754,0,0,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,6759.201502,6759.201502,0,0,8144.659479,8110.766599,-33.89288,-0.416136243
Maharashtra,18656.98928,18643.61928,-13.37,-0.071662152,20057.40737,20021.49387,-35.9135,-0.17905355
Daman & Diu ,327.12,327.12,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,759,759,0,0,781,781,0,0
Goa,492.72,491,-1.72,-0.349082643,497.3888,496,-1.3888,-0.279218189
Western Region,40122.09173,39903.09173,-219,-0.545833955,45369.26529,44957.32069,-411.9446,-0.907981642
Andhra Pradesh,7969.492198,7965,-4.492198382,-0.056367436,7969.492198,7965,-4.492198382,-0.056367436
Telangana,8235.541793,8223,-12.54179333,-0.152288625,8235.541793,8223,-12.54179333,-0.152288625
Karnataka,9324.173567,9218.4525,-105.7210666,-1.133838467,9979.584993,9551.235,-428.3499926,-4.292262584
Kerala,3542.19348,3528.4667,-13.72677957,-0.387522016,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14236.96899,14158.1,-78.86899112,-0.553973189,14822.66864,14822.66864,0,0
Puducherry,362.4933632,360.653198,-1.840165233,-0.507641083,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,40923.05689,40531.97189,-391.085,-0.955659302,40923.05689,40531.97189,-391.085,-0.955659302
Bihar,3403,3403,0,0,3716.76,3638.28,-78.48,-2.111516482
DVC,2469.04,2469.04,0,0,2685.69,2685.69,0,0
Jharkhand,1142.31,1142.31,0,0,1498.37,1498.37,0,0
Odisha,3918.9,3918.9,0,0,4012.4,4012.4,0,0
West Bengal ,7657,7625,-32,-0.417918245,7665,7641,-24,-0.313111546
Sikkim,97,97,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18055.31401,18024.39614,-30.9178744,-0.171239749,18642.02899,18595.65217,-46.37681159,-0.248775558
Arunachal Pradesh,148,140,-8,-5.405405405,148,140,-8,-5.405405405
Assam,1661,1633,-28,-1.685731487,1661,1633,-28,-1.685731487
Manipur,145,145,0,0,152,151,-1,-0.657894737
Meghalaya,296,296,0,0,311,311,0,0
Mizoram,83,81,-2,-2.409638554,88,88,0,0
Nagaland,117,116,-1,-0.854700855,120,119,-1,-0.833333333
Tripura,265,265,0,0,274.71,273,-1.71,-0.62247461
North-Eastern Region,2435,2387,-48,-1.971252567,2487,2475,-12,-0.482509047
All India ,151205.8092,148745.8845,-2459.924673,-1.626871802,152973.598,149971.0295,-3002.568479,-1.962801763
