State /System /Region,December_2016-Peak Demand-( MW ),December_2016-Peak Met-( MW ),December_2016-Surplus / Deficit (-)-( MW ),December_2016-Surplus / Deficit (-)-( % ),April_2016-December_2016-Peak Demand-( MW ),April_2016-December_2016-Peak Met-( MW ),April_2016-December_2016-Surplus / Deficit (-)-( MW ),April_2016-December_2016-Surplus / Deficit (-)-( % )
Chandigarh,218,218,0,0,361,361,0,0
Delhi,3857,3857,0,0,6342,6261,-81,-1.277199622
Haryana,6561,6561,0,0,9262,9262,0,0
Himachal Pradesh,1408,1408,0,0,1410,1410,0,0
Jammu & Kashmir,2591,2073,-518,-19.99228097,2591,2102,-489,-18.873022
Punjab,6266,6266,0,0,11408,11408,0,0
Rajasthan,10613,10113,-500,-4.711203241,10613,10113,-500,-4.711203241
Uttar Pradesh,13748,13673,-75,-0.545533896,17183.166,15501,-1682.166,-9.789616186
Uttarakhand,1857,1857,0,0,2020,1972,-48,-2.376237624
Northern Region,45782,44389,-1393,-3.042680529,53372,52612,-760,-1.423967623
Chattisgarh,3502.402256,3499.822256,-2.58,-0.073663726,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,12919.94505,12882.66585,-37.2792,-0.288539927,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,11511.6987,11501.1887,-10.51,-0.091298428,11511.6987,11501.1887,-10.51,-0.091298428
Maharashtra,19899.17867,19835.02867,-64.15,-0.322375114,20499.04282,20462.37857,-36.66425,-0.178858351
Daman & Diu,296.42,296.42,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,721,721,0,0,784,784,0,0
Goa,461.7875,411,-50.7875,-10.99802398,531.3717,531.3717,0,0
Western Region,47837.01698,47463.01698,-374,-0.781821325,47837.01698,47463.01698,-374,-0.781821325
Andhra Pradesh,7141.472246,7117,-24.47224577,-0.342677881,7969.492198,7965,-4.492198382,-0.056367436
Telangana,7847.583038,7831,-16.58303785,-0.211313952,8283.767745,8283.767745,0,0
Karnataka,9343.932348,9330.575,-13.35734787,-0.142952104,10061.10294,9870.5675,-190.5354384,-1.893782815
Kerala,3623.812323,3525.845,-97.96732339,-2.703432591,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,13319.11468,13316.142,-2.972682822,-0.022318922,14822.66864,14822.66864,0,0
Puducherry,326.6403256,326.210205,-0.430120599,-0.131680189,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,38541.9,38528,-13.9,-0.036064647,42051.81,41610,-441.81,-1.050632541
Bihar,3728.72,3533.72,-195,-5.229676672,3883.16,3758.56,-124.6,-3.208726913
DVC,2506.9,2506.9,0,0,2685.69,2685.69,0,0
Jharkhand,1193.71,1193.71,0,0,1498.37,1498.37,0,0
Odisha,3837,3837,0,0,4012.4,4012.4,0,0
West Bengal,6210,6207,-3,-0.048309179,7931,7886,-45,-0.567393771
Sikkim,91,91,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,16973.2657,16781.96135,-191.3043478,-1.127092165,18789.65217,18595.65217,-194,-1.032483189
Arunachal Pradesh,131,129,-2,-1.526717557,148,140,-8,-5.405405405
Assam,1388,1388,0,0,1673,1633,-40,-2.390914525
Manipur,161,157,-4,-2.48447205,161,157,-4,-2.48447205
Meghalaya,309,309,0,0,312,312,0,0
Mizoram,97,96,-1,-1.030927835,97,96,-1,-1.030927835
Nagaland,127,127,0,0,130,130,0,0
Tripura,230,230,0,0,284,284,0,0
North-Eastern Region,2245,2223,-22,-0.979955457,2487,2475,-12,-0.482509047
All India,145186.9934,144391.7947,-795.1986816,-0.547706556,159541.8453,156934,-2607.845297,-1.634583888
