State /System /Region,January_2016-Peak Demand-( MW ),January_2016-Peak Met-( MW ),January_2016-Surplus / Deficit (-)-( MW ),January_2016-Surplus / Deficit (-)-( % ),April_2015-January_2016-Peak Demand-( MW ),April_2015-January_2016-Peak Met-( MW ),April_2015-January_2016-Surplus / Deficit (-)-( MW ),April_2015-January_2016-Surplus / Deficit (-)-( % )
Chandigarh,248,248,0,0,342,342,0,0
Delhi,4176,4125,-51,-1.221264368,5846,5846,0,0
Haryana,7045,7045,0,0,9113,9113,0,0
Himachal Pradesh,1480,1480,0,0,1488,1488,0,0
Jammu & Kashmir,2544,2158,-386,-15.17295597,2544,2158,-386,-15.17295597
Punjab,6118,6118,0,0,10852,10852,0,0
Rajasthan,10720,10720,0,0,10961,10961,0,0
Uttar Pradesh,13862,11625,-2237,-16.13764248,16988,14503,-2485,-14.62797269
Uttarakhand,2034,2034,0,0,2034,2034,0,0
Northern Region,44124,42109,-2015,-4.566675732,54474,50622,-3852,-7.071263355
Chattisgarh,3472,3377,-95,-2.736175115,3929,3757,-172,-4.37770425
Gujarat,12892,12882,-10,-0.077567484,14495,14448,-47,-0.324249741
Madhya Pradesh,10796,10796,0,0,10902,10902,0,0
Maharashtra,18188,18156,-32,-0.17594018,20973,20594,-379,-1.8070853
Daman & Diu,301,301,0,0,307,307,0,0
Dadar Nagar Haveli,729,729,0,0,740,740,0,0
Goa,427,427,0,0,583,552,-31,-5.317324185
Western Region,45267,45204,-63,-0.139174233,48640,48199,-441,-0.906661184
Andhra Pradesh,6867.5365,6850,-17.5365,-0.255353575,7032,6913,-119,-1.692263936
Telangana,6370.019367,6348,-22.01936667,-0.345671895,6854,6849,-5,-0.072950102
Karnataka,9733.938667,9137.3825,-596.5561667,-6.128620563,9733.938667,9335,-398.9386667,-4.098430043
Kerala,3537.263567,3537.263567,0,0,3762,3632,-130,-3.455608719
Tamil Nadu,13206.52618,13206.52618,0,0,13580,13505,-75,-0.552282769
Puducherry,319.53219,318.82819,-0.704,-0.22032209,368,350,-18,-4.891304348
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,37412.0706,36745.4306,-666.64,-1.781884802,37801,36786,-1015,-2.68511415
Bihar,3634.2,3484.2,-150,-4.127455836,3735,3484.2,-250.8,-6.714859438
DVC,2421.22,2421.22,0,0,2814,2794,-20,-0.710732054
Jharkhand,1116.89,1116.89,0,0,1151,1127,-24,-2.085143354
Odisha,3739.4,3739.4,0,0,4015,4015,0,0
West Bengal,6261,6240,-21,-0.335409679,7905,7885,-20,-0.253004428
Sikkim,109,109,0,0,109,109,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,17212.85857,17042.53984,-170.3187251,-0.989485416,18076,17972,-104,-0.575348528
Arunachal Pradesh,118,117,-1,-0.847457627,138,132,-6,-4.347826087
Assam,1339,1330,-9,-0.672143391,1491,1378,-113,-7.57880617
Manipur,168,166,-2,-1.19047619,168,167,-1,-0.595238095
Meghalaya,379,377,-2,-0.527704485,400,377,-23,-5.75
Mizoram,102,101,-1,-0.980392157,102,101,-1,-0.980392157
Nagaland,122,122,0,0,140,138,-2,-1.428571429
Tripura,219,219,0,0,300,269,-31,-10.33333333
North-Eastern Region,2367,2332,-35,-1.478664977,2573,2356,-217,-8.43373494
All India,137790.4141,135383.4075,-2407.006601,-1.746860707,153366,148463,-4903,-3.196927611
