State /System /Region,July_2016-Peak Demand-( MW ),July_2016-Peak Met-( MW ),July_2016-Surplus / Deficit (-)-( MW ),July_2016-Surplus / Deficit (-)-( % ),April_2016-July_2016-Peak Demand-( MW ),April_2016-July_2016-Peak Met-( MW ),April_2016-July_2016-Surplus / Deficit (-)-( MW ),April_2016-July_2016-Surplus / Deficit (-)-( % )
Chandigarh,358,358,0,0,361,361,0,0
Delhi,6342,6261,-81,-1.277199622,6342,6261,-81,-1.277199622
Haryana,9262,9262,0,0,9262,9262,0,0
Himachal Pradesh,1297,1297,0,0,1330,1330,0,0
Jammu & Kashmir,2385,1950,-435,-18.23899371,2478,2102,-376,-15.17352704
Punjab,11408,11408,0,0,11408,11408,0,0
Rajasthan,9288,9168,-120,-1.291989664,9906,9906,0,0
Uttar Pradesh,16123,15154,-969,-6.010047758,16123,15501,-622,-3.857842833
Uttarakhand,1972,1907,-65,-3.296146045,2020,1945,-75,-3.712871287
Northern Region,52151,51658,-493,-0.945331825,53372,52612,-760,-1.423967623
Chattisgarh,3359.556351,3320.516351,-39.04,-1.162058198,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,12692.34714,12692,-0.347142904,-0.002735057,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,6671.182562,6659.502562,-11.68,-0.175081403,8144.659479,8110.766599,-33.89288,-0.416136243
Maharashtra,16014.27088,15996.95088,-17.32,-0.108153535,20057.40737,20021.49387,-35.9135,-0.17905355
Daman & Diu ,327,327,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,745,745,0,0,781,781,0,0
Goa,456,456,0,0,497.3888,496,-1.3888,-0.279218189
Western Region,38998.57193,38708.57193,-290,-0.743616973,45369.26529,44957.32069,-411.9446,-0.907981642
Andhra Pradesh,7175,7175,0,0,7576.08916,7361,-215.0891604,-2.839052654
Telangana,6890,6890,0,0,6934.653991,6894,-40.65399084,-0.58624397
Karnataka,8301.89,8301.89,0,0,9979.584993,9551.235,-428.3499926,-4.292262584
Kerala,3371.732281,3368.9685,-2.763781122,-0.081969175,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14517.36533,14467.48,-49.8853336,-0.343625255,14822.66864,14822.66864,0,0
Puducherry,358.1634605,357.647614,-0.515846548,-0.144025454,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,36215.31071,36171.86071,-43.45,-0.11997688,40752.20282,40471.84893,-280.3538878,-0.687947812
Bihar,3716.76,3595.76,-121,-3.255523628,3716.76,3638.28,-78.48,-2.111516482
DVC,2458.85,2458.85,0,0,2685.69,2685.69,0,0
Jharkhand,1133.83,1133.83,0,0,1498.37,1498.37,0,0
Odisha,3988.6,3988.6,0,0,4012.4,4012.4,0,0
West Bengal ,7453,7434,-19,-0.2549309,7665,7641,-24,-0.313111546
Sikkim,97,97,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18210.66667,18075.40097,-135.2657005,-0.742782804,18642.02899,18595.65217,-46.37681159,-0.248775558
Arunachal Pradesh,136,135,-1,-0.735294118,141,139,-2,-1.418439716
Assam,1591,1547,-44,-2.765556254,1591,1547,-44,-2.765556254
Manipur,141,141,0,0,152,151,-1,-0.657894737
Meghalaya,292,292,0,0,311,311,0,0
Mizoram,80,79,-1,-1.25,88,88,0,0
Nagaland,120,119,-1,-0.833333333,120,119,-1,-0.833333333
Tripura,259,258,-1,-0.386100386,274.71,273,-1.71,-0.62247461
North-Eastern Region,2474,2391,-83,-3.354890865,2487,2475,-12,-0.482509047
All India ,147453.3112,146288.6372,-1164.674017,-0.789859521,152973.598,149971.0295,-3002.568479,-1.962801763
