State /System /Region,June_2016-Peak Demand-( MW ),June_2016-Peak Met-( MW ),June_2016-Surplus / Deficit (-)-( MW ),June_2016-Surplus / Deficit (-)-( % ),April_2016-June_2016-Peak Demand-( MW ),April_2016-June_2016-Peak Met-( MW ),April_2016-June_2016-Surplus / Deficit (-)-( MW ),April_2016-June_2016-Surplus / Deficit (-)-( % )
Chandigarh,356,356,0,0,361,361,0,0
Delhi,6261,6261,0,0,6308,6261,-47,-0.745085606
Haryana,8763,8763,0,0,8763,8763,0,0
Himachal Pradesh,1330,1330,0,0,1330,1330,0,0
Jammu & Kashmir,2466,2092,-374,-15.16626115,2478,2102,-376,-15.17352704
Punjab,10997,10997,0,0,10997,10997,0,0
Rajasthan,9906,9906,0,0,9906,9906,0,0
Uttar Pradesh,16450,15501,-949,-5.76899696,16450,15501,-949,-5.76899696
Uttarakhand,2020,1945,-75,-3.712871287,2020,1945,-75,-3.712871287
Northern Region,53372,52612,-760,-1.423967623,53372,52612,-760,-1.423967623
Chattisgarh,3292.562605,3184.202205,-108.3604,-3.291065745,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,14724.16001,14708.26616,-15.89385,-0.107944018,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,7359.847257,7343.951227,-15.89603,-0.215983151,8144.659479,8110.766599,-33.89288,-0.416136243
Maharashtra,19813.02297,19127.85697,-685.166,-3.458159823,20057.40737,20021.49387,-35.9135,-0.17905355
Daman & Diu ,327.12,327.12,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,781,781,0,0,781,781,0,0
Goa,497.3888,496,-1.3888,-0.279218189,497.3888,496,-1.3888,-0.279218189
Western Region,44714.08096,43997.97346,-716.1075,-1.601525704,45369.26529,44957.32069,-411.9446,-0.907981642
Andhra Pradesh,7037.606118,7000,-37.60611789,-0.534359515,7576.08916,7361,-215.0891604,-2.839052654
Telangana,6113.591384,6082,-31.59138388,-0.516740192,6934.653991,6894,-40.65399084,-0.58624397
Karnataka,8183.272808,8183.272808,0,0,9979.584993,9551.235,-428.3499926,-4.292262584
Kerala,3565.07502,3493.7885,-71.28652014,-1.999579805,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14362.43611,14357.782,-4.654106543,-0.032404715,14822.66864,14822.66864,0,0
Puducherry,369.073577,367.147614,-1.925962974,-0.521837133,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,37079.21324,36816.90574,-262.3075,-0.707424665,40752.20282,40471.84893,-280.3538878,-0.687947812
Bihar,3590.6,3440.6,-150,-4.177574779,3662.28,3638.28,-24,-0.655329467
DVC,2685.69,2685.69,0,0,2685.69,2685.69,0,0
Jharkhand,1118.92,1118.92,0,0,1498.37,1498.37,0,0
Odisha,3969.8,3969.8,0,0,4012.4,4012.4,0,0
West Bengal ,7564,7542,-22,-0.290851401,7665,7641,-24,-0.313111546
Sikkim,93,93,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18378.75362,18212.57005,-166.1835749,-0.904215695,18642.02899,18595.65217,-46.37681159,-0.248775558
Arunachal Pradesh,131,130,-1,-0.763358779,141,139,-2,-1.418439716
Assam,1511,1458,-53,-3.507610854,1511,1458,-53,-3.507610854
Manipur,152,151,-1,-0.657894737,152,151,-1,-0.657894737
Meghalaya,311,311,0,0,311,311,0,0
Mizoram,81,80,-1,-1.234567901,88,88,0,0
Nagaland,119,119,0,0,119,119,0,0
Tripura,274.71,273,-1.71,-0.62247461,274.71,273,-1.71,-0.62247461
North-Eastern Region,2479,2475,-4,-0.161355385,2487,2475,-12,-0.482509047
All India ,149149.4043,148030.0947,-1119.309526,-0.750461949,152973.598,149971.0295,-3002.568479,-1.962801763
