State /System /Region,March_2016-Peak Demand-( MW ),March_2016-Peak Met-( MW ),March_2016-Surplus / Deficit (-)-( MW ),March_2016-Surplus / Deficit (-)-( % ),April_2015-March_2016-Peak Demand-( MW ),April_2015-March_2016-Peak Met-( MW ),April_2015-March_2016-Surplus / Deficit (-)-( MW ),April_2015-March_2016-Surplus / Deficit (-)-( % )
Chandigarh,195,195,0,0,342,342,0,0
Delhi,3618,3617,-1,-0.02763958,5846,5846,0,0
Haryana,6433,6433,0,0,9113,9113,0,0
Himachal Pradesh,1428,1428,0,0,1488,1488,0,0
Jammu & Kashmir,2439,2069,-370,-15.1701517,2544,2158,-386,-15.17295597
Punjab,5688,5688,0,0,10852,10852,0,0
Rajasthan,9677,9677,0,0,10961,10961,0,0
Uttar Pradesh,14595,13964,-631,-4.323398424,16988,14503,-2485,-14.62797269
Uttarakhand,1817,1817,0,0,2034,2034,0,0
Northern Region,42396,40282,-2114,-4.986319464,54474,50622,-3852,-7.071263355
Chattisgarh,3699.590762,3592.850762,-106.74,-2.885183981,3932.195832,3757,-175.1958322,-4.455419813
Gujarat,13311.99642,13283.05632,-28.9401,-0.217398646,14495,14448,-47,-0.324249741
Madhya Pradesh,9055.570844,9055.570844,0,0,10902,10902,0,0
Maharashtra,19218.46972,19183.70422,-34.7655,-0.180896297,20973,20594,-379,-1.8070853
Daman & Diu ,304.36,304.36,0,0,307,307,0,0
Dadar Nagar Haveli,726,726,0,0,740,740,0,0
Goa,446.09,445,-1.09,-0.244345311,583,552,-31,-5.317324185
Western Region,44424.22543,44225.16903,-199.0564,-0.448080744,48640,48199,-441,-0.906661184
Andhra Pradesh,7399.5698,7391,-8.5698,-0.115814841,7399.5698,7391,-8.5698,-0.115814841
Telangana,6656.004767,6651,-5.004766667,-0.075191753,6854,6849,-5,-0.072950102
Karnataka,10201.78783,9508.215,-693.5728333,-6.798542027,10201.78783,9508.215,-693.5728333,-6.798542027
Kerala,3977.47195,3855.9967,-121.47525,-3.054081877,3977.47195,3855.9967,-121.47525,-3.054081877
Tamil Nadu,14167.6078,14164.7,-2.9078,-0.020524284,14190.15072,14171.336,-18.81471667,-0.132589971
Puducherry,353.4588,352.1,-1.3588,-0.384429529,368,352.1,-15.9,-4.320652174
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,40030.48303,39875.31303,-155.17,-0.387629597,40030.48303,39875.31303,-155.17,-0.387629597
Bihar,3488.44,3419.44,-69,-1.977961496,3735,3484.2,-250.8,-6.714859438
DVC,2472.8,2472.8,0,0,2814,2794,-20,-0.710732054
Jharkhand,1153.16,1153.16,0,0,1153.16,1153.16,0,0
Odisha,4090.97,4090.97,0,0,4090.97,4090.97,0,0
West Bengal ,7490.7,7442.7,-48,-0.640794585,7905,7885,-20,-0.253004428
Sikkim,109,109,0,0,109,109,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18169.14976,18056.10628,-113.0434783,-0.622172637,18169.14976,18056.10628,-113.0434783,-0.622172637
Arunachal Pradesh,115,113,-2,-1.739130435,139,135,-4,-2.877697842
Assam,1343,1316,-27,-2.010424423,1491,1378,-113,-7.57880617
Manipur,155,155,0,0,168,167,-1,-0.595238095
Meghalaya,315,315,0,0,400,377,-23,-5.75
Mizoram,86,84,-2,-2.325581395,102,101,-1,-0.980392157
Nagaland,114,114,0,0,140,138,-2,-1.428571429
Tripura,251,248,-3,-1.195219124,300,269,-31,-10.33333333
North-Eastern Region,2442,2367,-75,-3.071253071,2573,2367,-206,-8.006218422
All India ,144933.8916,142555.814,-2378.077623,-1.640801607,153366,148463,-4903,-3.196927611
