State /System /Region,May_2016-Peak Demand-( MW ),May_2016-Peak Met-( MW ),May_2016-Surplus / Deficit (-)-( MW ),May_2016-Surplus / Deficit (-)-( % ),April_2016-May_2016-Peak Demand-( MW ),April_2016-May_2016-Peak Met-( MW ),April_2016-May_2016-Surplus / Deficit (-)-( MW ),April_2016-May_2016-Surplus / Deficit (-)-( % )
Chandigarh,361,361,0,0,361,361,0,0
Delhi,6308,6188,-120,-1.902346227,6308,6188,-120,-1.902346227
Haryana,7950,7950,0,0,7950,7950,0,0
Himachal Pradesh,1270,1270,0,0,1272,1272,0,0
Jammu & Kashmir,2478,2102,-376,-15.17352704,2478,2102,-376,-15.17352704
Punjab,7997,7997,0,0,7997,7997,0,0
Rajasthan,9690,9690,0,0,9690,9690,0,0
Uttar Pradesh,16498,14970,-1528,-9.261728694,16498,14970,-1528,-9.261728694
Uttarakhand,2013,1938,-75,-3.725782414,2013,1938,-75,-3.725782414
Northern Region,50644,49977,-667,-1.317036569,50644,49977,-667,-1.317036569
Chattisgarh,3390.028269,3387.510369,-2.5179,-0.074273717,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,14701.05884,14663.96094,-37.0979,-0.25234849,14701.05884,14663.96094,-37.0979,-0.25234849
Madhya Pradesh,7980.045489,7975.253529,-4.79196,-0.060049282,8144.659479,8110.766599,-33.89288,-0.416136243
Maharashtra,19916.38468,19909.22683,-7.15785,-0.035939505,20057.40737,20021.49387,-35.9135,-0.17905355
Daman & Diu,304.36,304.36,0,0,304.36,304.36,0,0
Dadar Nagar Haveli,753,753,0,0,753,753,0,0
Goa,473,473,0,0,473,473,0,0
Western Region,45369.26529,44957.32069,-411.9446,-0.907981642,45369.26529,44957.32069,-411.9446,-0.907981642
Andhra Pradesh,7372.91173,7361,-11.91173044,-0.161560736,7576.08916,7361,-215.0891604,-2.839052654
Telangana,6340.213624,6290,-50.21362443,-0.791986318,6934.653991,6894,-40.65399084,-0.58624397
Karnataka,9303.943071,9302.095,-1.848071418,-0.019863314,9979.584993,9551.235,-428.3499926,-4.292262584
Kerala,4058.839118,3931.7064,-127.1327178,-3.132243336,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14705.97115,14668.023,-37.94815415,-0.25804589,14822.66864,14822.66864,0,0
Puducherry,368.0754903,368.0754903,0,0,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,39823.46356,39666.54856,-156.915,-0.394026501,40752.20282,40471.84893,-280.3538878,-0.687947812
Bihar,3662.28,3638.28,-24,-0.655329467,3662.28,3638.28,-24,-0.655329467
DVC,2477.95,2477.95,0,0,2562.4,2562.4,0,0
Jharkhand,1498.37,1498.37,0,0,1498.37,1498.37,0,0
Odisha,3897.9,3897.9,0,0,4012.4,4012.4,0,0
West Bengal,7665,7641,-24,-0.313111546,7665,7641,-24,-0.313111546
Sikkim,93,93,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18642.02899,18595.65217,-46.37681159,-0.248775558,18642.02899,18595.65217,-46.37681159,-0.248775558
Arunachal Pradesh,118.7,118.7,0,0,141,139,-2,-1.418439716
Assam,1496.7,1423,-73.7,-4.9241665,1496.7,1423,-73.7,-4.9241665
Manipur,144.6,144.3,-0.3,-0.20746888,146,146,0,0
Meghalaya,281.5,281.5,0,0,295,295,0,0
Mizoram,88,88,0,0,88,88,0,0
Nagaland,106.9,105,-1.9,-1.777362021,110,110,0,0
Tripura,252.2,249,-3.2,-1.268834259,272,264,-8,-2.941176471
North-Eastern Region,2487,2401,-86,-3.457981504,2487,2401,-86,-3.457981504
All India,150943.7868,149971.0295,-972.757257,-0.644450015,152973.598,149971.0295,-3002.568479,-1.962801763
