State /System /Region,November_2016-Peak Demand-( MW ),November_2016-Peak Met-( MW ),November_2016-Surplus / Deficit (-)-( MW ),November_2016-Surplus / Deficit (-)-( % ),April_2016-November_2016-Peak Demand-( MW ),April_2016-November_2016-Peak Met-( MW ),April_2016-November_2016-Surplus / Deficit (-)-( MW ),April_2016-November_2016-Surplus / Deficit (-)-( % )
Chandigarh,183,183,0,0,361,361,0,0
Delhi,3510,3510,0,0,6342,6261,-81,-1.277199622
Haryana,6642,6642,0,0,9262,9262,0,0
Himachal Pradesh,1410,1410,0,0,1410,1410,0,0
Jammu & Kashmir,2480,1984,-496,-20,2480,2102,-378,-15.24193548
Punjab,5548,5548,0,0,11408,11408,0,0
Rajasthan,9902,9902,0,0,9906,9906,0,0
Uttar Pradesh,14424,14424,0,0,17183.166,15501,-1682.166,-9.789616186
Uttarakhand,1785,1785,0,0,2020,1972,-48,-2.376237624
Northern Region,41535,41082,-453,-1.090646443,53372,52612,-760,-1.423967623
Chattisgarh,3086.74694,3057.93264,-28.8143,-0.933484363,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,12915.49197,12910.83732,-4.65465,-0.036039278,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,10893.87582,10866.81557,-27.06025,-0.248398738,10893.87582,10866.81557,-27.06025,-0.248398738
Maharashtra,20305.13441,20297.85266,-7.28175,-0.035861619,20499.04282,20462.37857,-36.66425,-0.178858351
Daman & Diu ,314.4,314.4,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,761,761,0,0,784,784,0,0
Goa,531.3717,531.3717,0,0,531.3717,531.3717,0,0
Western Region,46897.8556,46864.8556,-33,-0.070365691,46897.8556,46864.8556,-33,-0.070365691
Andhra Pradesh,7299.899821,7296,-3.899820574,-0.053422933,7969.492198,7965,-4.492198382,-0.056367436
Telangana,7567.781859,7561,-6.781858618,-0.08961488,8283.767745,8283.767745,0,0
Karnataka,10061.10294,9870.5675,-190.5354384,-1.893782815,10061.10294,9870.5675,-190.5354384,-1.893782815
Kerala,3637.518621,3594.7934,-42.72522057,-1.174570498,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,13902.44274,13893.246,-9.19673748,-0.066151954,14822.66864,14822.66864,0,0
Puducherry,359.6795963,348.157501,-11.52209528,-3.203433111,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,40449.55,40192,-257.55,-0.636719074,42051.81,41610,-441.81,-1.050632541
Bihar,3854.56,3758.56,-96,-2.490556639,3883.16,3758.56,-124.6,-3.208726913
DVC,2357.22,2357.22,0,0,2685.69,2685.69,0,0
Jharkhand,1167.71,1167.71,0,0,1498.37,1498.37,0,0
Odisha,3787.6,3787.6,0,0,4012.4,4012.4,0,0
West Bengal ,7416,7402,-14,-0.188781014,7931,7886,-45,-0.567393771
Sikkim,92,92,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18043.56522,17937.28502,-106.2801932,-0.589019919,18789.65217,18595.65217,-194,-1.032483189
Arunachal Pradesh,127,127,0,0,148,140,-8,-5.405405405
Assam,1531,1524,-7,-0.457217505,1673,1633,-40,-2.390914525
Manipur,152,151,-1,-0.657894737,152,151,-1,-0.657894737
Meghalaya,312,312,0,0,312,312,0,0
Mizoram,97,96,-1,-1.030927835,97,96,-1,-1.030927835
Nagaland,128,126,-2,-1.5625,130,130,0,0
Tripura,266,266,0,0,284,284,0,0
North-Eastern Region,2377,2314,-63,-2.650399663,2487,2475,-12,-0.482509047
All India ,148973.2042,148217.1802,-756.0239901,-0.507489917,159541.8453,156934,-2607.845297,-1.634583888
