State /System /Region,September_2016-Peak Demand-( MW ),September_2016-Peak Met-( MW ),September_2016-Surplus / Deficit (-)-( MW ),September_2016-Surplus / Deficit (-)-( % ),April_2016-September_2016-Peak Demand-( MW ),April_2016-September_2016-Peak Met-( MW ),April_2016-September_2016-Surplus / Deficit (-)-( MW ),April_2016-September_2016-Surplus / Deficit (-)-( % )
Chandigarh,313,313,0,0,361,361,0,0
Delhi,5305,5301,-4,-0.075400566,6342,6261,-81,-1.277199622
Haryana,9109,9109,0,0,9262,9262,0,0
Himachal Pradesh,1329,1329,0,0,1330,1330,0,0
Jammu & Kashmir,2469,1975,-494,-20.00810045,2478,2102,-376,-15.17352704
Punjab,10543,10543,0,0,11408,11408,0,0
Rajasthan,9816,9816,0,0,9906,9906,0,0
Uttar Pradesh,17183.166,15457,-1726.166,-10.04568076,17183.166,15501,-1682.166,-9.789616186
Uttarakhand,1942,1942,0,0,2020,1945,-75,-3.712871287
Northern Region,52772.4665,51816.4665,-956,-1.811550726,53372,52612,-760,-1.423967623
Chattisgarh,3453.039297,3449.219297,-3.82,-0.11062718,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,14666,14666,0,0,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,7910.075329,7893.075329,-17,-0.214915779,8144.659479,8110.766599,-33.89288,-0.416136243
Maharashtra,20239.50123,20232.25123,-7.25,-0.035821041,20239.50123,20232.25123,-7.25,-0.035821041
Daman & Diu ,327.12,327.12,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,776,776,0,0,781,781,0,0
Goa,468.33,468,-0.33,-0.070463135,497.3888,496,-1.3888,-0.279218189
Western Region,46110,46010,-100,-0.216872696,46110,46010,-100,-0.216872696
Andhra Pradesh,7725.600732,7714,-11.60073209,-0.150159612,7969.492198,7965,-4.492198382,-0.056367436
Telangana,8283.767745,8283.767745,0,0,8283.767745,8283.767745,0,0
Karnataka,9503.920727,9496.815,-7.105727168,-0.074766271,9979.584993,9551.235,-428.3499926,-4.292262584
Kerala,3504.812832,3504.7898,-0.023031509,-0.000657139,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,14462.60365,14385.221,-77.3826497,-0.53505338,14822.66864,14822.66864,0,0
Puducherry,358.7126278,358.144714,-0.567913779,-0.158319985,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,41298,41259,-39,-0.094435566,41298,41259,-39,-0.094435566
Bihar,3843.4,3624.4,-219,-5.698079825,3843.4,3638.28,-205.12,-5.33694125
DVC,2523.72,2523.72,0,0,2685.69,2685.69,0,0
Jharkhand,1152.914,1152.914,0,0,1498.37,1498.37,0,0
Odisha,3864.62,3864.62,0,0,4012.4,4012.4,0,0
West Bengal ,7709,7653,-56,-0.726423661,7709,7653,-56,-0.726423661
Sikkim,97,97,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,18541.69469,18275.9942,-265.7004831,-1.432989204,18642.02899,18595.65217,-46.37681159,-0.248775558
Arunachal Pradesh,143,136,-7,-4.895104895,148,140,-8,-5.405405405
Assam,1616,1576,-40,-2.475247525,1661,1633,-28,-1.685731487
Manipur,151,148,-3,-1.986754967,152,151,-1,-0.657894737
Meghalaya,298,298,0,0,311,311,0,0
Mizoram,92,91,-1,-1.086956522,92,91,-1,-1.086956522
Nagaland,123,121,-2,-1.62601626,123,121,-2,-1.62601626
Tripura,277,277,0,0,277,277,0,0
North-Eastern Region,2430,2373,-57,-2.345679012,2487,2475,-12,-0.482509047
All India ,159541.8453,156934,-2607.845297,-1.634583888,159541.8453,156934,-2607.845297,-1.634583888
