State/System/Region,Requirement(MW) - April 17,Availability(MW) - April 17,Surplus / Deficit (MW) - April 17,Surplus / Deficit (%) - April 17
Chandigarh,321,321,0,0
Delhi,5688,5685,-3,0
Haryana,7463,7463,0,0
Himachal Pradesh,1329,1329,0,0
Jammu & Kashmir,2577,2062,-515,-20
Punjab,8078,8078,0,0
Rajasthan,9187,9155,-32,0
Uttar Pradesh,17332,17332,0,0
Uttarakhand,1917,1917,0,0
Northern Region,50213,49643,-570,-1
Chattisgarh,3888,3887,-1,0
Gujarat,15285,15285,0,0
Madhya Pradesh,8402,8402,0,0
Maharashtra,22542,22494,-48,0
Daman & Diu ,334,334,0,0
Dadar Nagar Haveli,753,753,0,0
Goa,558,557,-1,0
Western Region,49860,49788,-72,0
Andhra Pradesh,7860,7848,-12,0
Karnataka,9009,9001,-8,0
Kerala,9992,9987,-5,0
Tamil Nadu,3885,3862,-22,-1
Pondicherry,15001,14975,-26,0
Lakshadweep,388,387,0,0
Southern Region,8,8,0,0
Bihar,42770,42535,-235,-1
DVC,3926,3904,-22,-1
Jharkhand,2651,2651,0,0
Odisha,1197,1197,0,0
West Bengal ,4227,4227,0,0
Sikkim,7820,7793,-27,0
Andaman- Nicobar,91,91,0,0
Eastern Region,40,32,-8,-20
Arunachal Pradesh,19238,19191,-47,0
Assam,133,129,-4,-3
Manipur,1414,1399,-15,-1
Meghalaya,155,154,-1,-1
Mizoram,291,291,0,0
Nagaland,86,85,-1,-1
Tripura,121,120,-1,-1
North-Eastern Region,252,252,0,0
All India ,2258,2209,-49,-2
