State /System /Region,December 2017-Peak Demand-( MW ),December 2017-Peak Met-( MW ),December 2017-Surplus / Deficit (-)-( MW ),December 2017-Surplus / Deficit (-)-( % ),April 2017-December 2017-Peak Demand-( MW ),April 2017-December 2017-Peak Met-( MW ),April 2017-December 2017-Surplus / Deficit (-)-( MW ),April 2017-December 2017-Surplus / Deficit (-)-( % )
Chandigarh,218,218,0,0,363,363,0,0
Delhi,4008,4008,0,0,6553,6526,-27,0
Haryana,7042,7042,0,0,9671,9539,-132,-1
Himachal Pradesh,1560,1560,0,0,1560,1560,0,0
Jammu & Kashmir,2758,2206,-552,-20,2768,2214,-554,-20
Punjab,6016,6016,0,0,11705,11705,0,0
Rajasthan,11290,11290,0,0,11290,11290,0,0
Uttar Pradesh,14762,14427,-335,-2,20274,18061,-2213,-11
Uttarakhand,2025,2025,0,0,2033,2033,0,0
Northern Region,46038,45360,-678,-2,60749,58448,-2301,-4
Chattisgarh,3202,3202,0,0,4169,3887,-282,-7
Gujarat,14723,14664,-59,0,16590,16590,0,0
Madhya Pradesh,12338,12301,-37,0,12338,12301,-37,0
Maharashtra,19971,19956,-14,0,22542,22494,-48,0
Daman & Diu ,362,362,0,0,362,362,0,0
Dadar Nagar Haveli,766,766,0,0,790,790,0,0
Goa,515,490,-25,-5,559,558,-1,0
Western Region,49806,49635,-170,0,49860,49788,-72,0
Andhra Pradesh,8409,8400,-9,0,8409,8400,-9,0
Telangana,9452,9424,-28,0,9522,9500,-22,0
Karnataka,10144,10100,-44,0,10144,10100,-44,0
Kerala,3629,3553,-76,-2,3889,3862,-27,-1
Tamil Nadu,13659,13648,-11,0,15001,14975,-26,0
Puducherry,345,345,0,0,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,42622,42458,-164,0,42770,42535,-235,-1
Bihar,4038,4038,0,0,4521,4515,-6,0
DVC,2737,2737,0,0,2785,2749,-36,-1
Jharkhand,1332,1200,-132,-10,1332,1260,-72,-5
Odisha,4351,4151,-200,-5,4370,4370,0,0
West Bengal ,6048,6045,-3,0,8137,8114,-23,0
Sikkim,94,94,0,0,96,96,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,18058,17733,-325,-2,20274,20208,-66,0
Arunachal Pradesh,141,136,-5,-4,145,145,0,0
Assam,1479,1453,-26,-2,1822,1745,-77,-4
Manipur,194,187,-7,-4,194,187,-7,-4
Meghalaya,369,368,-1,0,369,368,-1,0
Mizoram,104,95,-9,-9,104,95,-9,-9
Nagaland,155,127,-28,-18,155,146,-9,-6
Tripura,259,259,-1,0,342,342,0,0
North-Eastern Region,2333,2314,-20,-1,2629,2520,-109,-4
All India ,152827,151567,-1260,-1,164066,160752,-3314,-2
