State /System /Region,Febuary_2017-Peak Demand-( MW ),Febuary_2017-Peak Met-( MW ),Febuary_2017-Surplus / Deficit (-)-( MW ),Febuary_2017-Surplus / Deficit (-)-( % ),April_2016-Febuary_2017-Peak Demand-( MW ),April_2016-Febuary_2017-Peak Met-( MW ),April_2016-Febuary_2017-Surplus / Deficit (-)-( MW ),April_2016-Febuary_2017-Surplus / Deficit (-)-( % )
Chandigarh,217,217,0,0,361,361,0,0
Delhi,3882,3882,0,0,6342,6261,-81,-1.277199622
Haryana,6556,6556,0,0,9262,9262,0,0
Himachal Pradesh,1479,1479,0,0,1492,1492,0,0
Jammu & Kashmir,2622,2098,-524,-19.98474447,2675,2140,-535,-20
Punjab,6475,6475,0,0,11408,11408,0,0
Rajasthan,10527,10322,-205,-1.947373421,10613,10348,-265,-2.496937718
Uttar Pradesh,14133,14133,0,0,17183.166,15501,-1682.166,-9.789616186
Uttarakhand,1973,1973,0,0,2037,2037,0,0
Northern Region,43827,43098,-729,-1.663358204,53372,52612,-760,-1.423967623
Chattisgarh,3397.31718,3389.31718,-8,-0.235479927,3875.413134,3850.859834,-24.5533,-0.633566001
Gujarat,13359.2349,13354.2449,-4.99,-0.037352439,14724.16001,14708.26616,-15.89385,-0.107944018
Madhya Pradesh,10915.29319,10903.64319,-11.65,-0.106730986,11511.6987,11501.1887,-10.51,-0.091298428
Maharashtra,21280.60194,21204.24194,-76.36,-0.358824437,21280.60194,21204.24194,-76.36,-0.358824437
Daman & Diu,281.3909677,281.3909677,0,0,327.12,327.12,0,0
Dadar Nagar Haveli,671.0967742,671.0967742,0,0,784,784,0,0
Goa,515.36,515.36,0,0,531.3717,531.3717,0,0
Western Region,47993.92159,47820.92159,-173,-0.360462313,47993.92159,47843.57828,-150.3433101,-0.313254898
Andhra Pradesh,7541.153549,7522,-19.15354915,-0.253986993,7969.492198,7965,-4.492198382,-0.056367436
Telangana,8947.808989,8944,-3.808989087,-0.042568958,8947.808989,8944,-3.808989087,-0.042568958
Karnataka,10260.96865,10242.2,-18.76865383,-0.18291308,10260.96865,10242.2,-18.76865383,-0.18291308
Kerala,3695.551582,3688.488,-7.063582079,-0.191137424,4131.588796,3996.4319,-135.1568956,-3.2713056
Tamil Nadu,13646.70943,13639.928,-6.781432687,-0.049692805,14822.66864,14822.66864,0,0
Puducherry,344.4588586,344.443787,-0.015071608,-0.004375445,370.6192191,368.0754903,-2.543728817,-0.686345631
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,41188,41155,-33,-0.080120423,42051.81,41610,-441.81,-1.050632541
Bihar,3810.16,3543.16,-267,-7.007579734,3883.16,3758.56,-124.6,-3.208726913
DVC,2570.225,2570.225,0,0,2721,2721,0,0
Jharkhand,1165.42,1165.42,0,0,1498.37,1498.37,0,0
Odisha,3847,3847,0,0,4012.4,4012.4,0,0
West Bengal,7041,7036,-5,-0.07101264,7931,7886,-45,-0.567393771
Sikkim,91,91,0,0,112,112,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,17898.36232,17635.56039,-262.8019324,-1.468301556,18789.65217,18595.65217,-194,-1.032483189
Arunachal Pradesh,138.9677672,134.806,-4.1617672,-2.994771582,148,140,-8,-5.405405405
Assam,1398.4762,1395.5,-2.9762,-0.212817351,1673,1633,-40,-2.390914525
Manipur,163.2916,162,-1.2916,-0.790977613,163.2916,162.9,-0.3916,-0.239816378
Meghalaya,300.189556,299.63,-0.559556,-0.186400889,331.124944,331.124944,0,0
Mizoram,94.76668,92.6,-2.16668,-2.286331018,98.3,98.3,0,0
Nagaland,147.693995,146.65,-1.043995,-0.706863539,147.693995,146.65,-1.043995,-0.706863539
Tripura,223.03086,223.03086,0,0,284,284,0,0
North-Eastern Region,2242.5394,2233.5,-9.0394,-0.403087678,2487,2475,-12,-0.482509047
All India,150120.5855,149322.0742,-798.5112682,-0.531913239,159541.8453,156934,-2607.845297,-1.634583888
