State /System /Region,May 2017-Peak Demand-( MW ),May 2017-Peak Met-( MW ),May 2017-Surplus / Deficit (-)-( MW ),May 2017-Surplus / Deficit (-)-( % ),April 2017-May 2017-Peak Demand-( MW ),April 2017-May 2017-Peak Met-( MW ),April 2017-May 2017-Surplus / Deficit (-)-( MW ),April 2017-May 2017-Surplus / Deficit (-)-( % )
Chandigarh,340,340,0,0,340,340,0,0
Delhi,6021,6021,0,0,6021,6021,0,0
Haryana,7780,7780,0,0,7780,7780,0,0
Himachal Pradesh,1349,1349,0,0,1349,1349,0,0
Jammu & Kashmir,2668,2134,-534,-20,2668,2134,-534,-20
Punjab,8229,8229,0,0,8229,8229,0,0
Rajasthan,10305,10305,0,0,10305,10305,0,0
Uttar Pradesh,18646,17819,-827,-4,18646,17819,-827,-4
Uttarakhand,1992,1992,0,0,1992,1992,0,0
Northern Region,52517,51820,-697,-1,52517,51820,-697,-1
Chattisgarh,3737,3713,-24,-1,3888,3887,-1,0
Gujarat,15325,15325,0,0,15325,15325,0,0
Madhya Pradesh,8227,8227,0,0,8402,8402,0,0
Maharashtra,21874,21778,-96,0,22542,22494,-48,0
Daman & Diu ,339,339,0,0,339,339,0,0
Dadar Nagar Haveli,768,768,0,0,768,768,0,0
Goa,505,504,-1,0,558,557,-1,0
Western Region,49208,49048,-160,0,49860,49788,-72,0
Andhra Pradesh,7914,7882,-32,0,7914,7882,-32,0
Telangana,7412,7396,-16,0,9009,9001,-8,0
Karnataka,9376,9358,-17,0,9992,9987,-5,0
Kerala,3889,3837,-52,-1,3889,3862,-27,-1
Tamil Nadu,14749,14743,-6,0,15001,14975,-26,0
Puducherry,379,379,0,0,388,387,0,0
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,41127,40885,-242,-1,42770,42535,-235,-1
Bihar,4122,4021,-101,-3,4122,4021,-101,-3
DVC,2684,2684,0,0,2684,2684,0,0
Jharkhand,1211,1211,0,0,1211,1211,0,0
Odisha,4208,4208,0,0,4227,4227,0,0
West Bengal ,7515,7495,-20,0,7820,7793,-27,0
Sikkim,78,78,0,0,91,91,0,0
Andaman- Nicobar,40,32,-8,-20,40,32,-8,-20
Eastern Region,19149,19032,-117,-1,19238,19191,-47,0
Arunachal Pradesh,145,145,0,0,145,145,0,0
Assam,1649,1580,-69,-4,1649,1580,-69,-4
Manipur,163,161,-2,-1,163,161,-2,-1
Meghalaya,304,304,0,0,304,304,0,0
Mizoram,86,85,-1,-1,86,85,-1,-1
Nagaland,132,131,-1,0,132,131,-1,0
Tripura,280,276,-4,-1,280,276,-4,-1
North-Eastern Region,2472,2391,-81,-3,2472,2391,-81,-3
All India ,159816,156733,-3083,-2,159816,158393,-1423,-1
