State /System /Region,November 2017-Peak Demand-( MW ),November 2017-Peak Met-( MW ),November 2017-Surplus / Deficit (-)-( MW ),November 2017-Surplus / Deficit (-)-( % ),April 2017-November 2017-Peak Demand-( MW ),April 2017-November 2017-Peak Met-( MW ),April 2017-November 2017-Surplus / Deficit (-)-( MW ),April 2017-November 2017-Surplus / Deficit (-)-( % )
Chandigarh,189,189,0,0,363,363,0,0
Delhi,3965,3965,0,0,6553,6526,-27,0
Haryana,6593,6593,0,0,9671,9539,-132,-1
Himachal Pradesh,1491,1491,0,0,1491,1491,0,0
Jammu & Kashmir,2485,1988,-497,-20,2768,2214,-554,-20
Punjab,5713,5713,0,0,11705,11705,0,0
Rajasthan,11215,11215,0,0,11215,11215,0,0
Uttar Pradesh,14292,13247,-1044,-7,20274,18061,-2213,-11
Uttarakhand,1886,1886,0,0,2033,2033,0,0
Northern Region,43240,42390,-850,-2,60749,58448,-2301,-4
Chattisgarh,3250,3231,-19,-1,4169,3887,-282,-7
Gujarat,14745,14735,-11,0,16590,16590,0,0
Madhya Pradesh,11829,11797,-32,0,11829,11797,-32,0
Maharashtra,21050,21012,-38,0,22542,22494,-48,0
Daman & Diu ,336,336,0,0,351,351,0,0
Dadar Nagar Haveli,781,781,0,0,790,790,0,0
Goa,519,494,-25,-5,559,558,-1,0
Western Region,49737,49569,-168,0,49860,49788,-72,0
Andhra Pradesh,8178,8166,-12,0,8178,8166,-12,0
Telangana,7761,7750,-11,0,9522,9500,-22,0
Karnataka,9715,9688,-27,0,9992,9987,-5,0
Kerala,3647,3645,-2,0,3889,3862,-27,-1
Tamil Nadu,14244,14222,-22,0,15001,14975,-26,0
Puducherry,350,350,0,0,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,40884,40720,-164,0,42770,42535,-235,-1
Bihar,3917,3917,0,0,4521,4515,-6,0
DVC,2731,2731,0,0,2785,2749,-36,-1
Jharkhand,1245,1245,0,0,1260,1260,0,0
Odisha,4108,4108,0,0,4370,4370,0,0
West Bengal ,6612,6610,-2,0,8137,8114,-23,0
Sikkim,96,96,0,0,96,96,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,18163,18161,-2,0,20274,20208,-66,0
Arunachal Pradesh,144,136,-8,-6,145,145,0,0
Assam,1515,1478,-37,-2,1822,1745,-77,-4
Manipur,180,178,-2,-1,180,178,-2,-1
Meghalaya,339,339,0,0,339,339,0,0
Mizoram,95,90,-5,-5,95,90,-5,-5
Nagaland,132,132,-1,-1,147,146,-1,-1
Tripura,276,276,0,0,342,342,0,0
North-Eastern Region,2443,2380,-63,-3,2629,2520,-109,-4
All India ,151406,149036,-2369,-2,164066,160752,-3314,-2
