State /System /Region,October 2017-Peak Demand-( MW ),October 2017-Peak Met-( MW ),October 2017-Surplus / Deficit (-)-( MW ),October 2017-Surplus / Deficit (-)-( % ),April 2017-October 2017-Peak Demand-( MW ),April 2017-October 2017-Peak Met-( MW ),April 2017-October 2017-Surplus / Deficit (-)-( MW ),April 2017-October 2017-Surplus / Deficit (-)-( % )
Chandigarh,244,244,0,0,363,363,0,0
Delhi,4723,4723,0,0,6553,6526,-27,0
Haryana,7860,7860,0,0,9671,9539,-132,-1
Himachal Pradesh,1425,1425,0,0,1425,1425,0,0
Jammu & Kashmir,2579,2063,-516,-20,2768,2214,-554,-20
Punjab,8337,8337,0,0,11705,11705,0,0
Rajasthan,10357,10357,0,0,10357,10357,0,0
Uttar Pradesh,17966,17966,0,0,20274,18061,-2213,-11
Uttarakhand,1920,1920,0,0,2033,2033,0,0
Northern Region,51307,50289,-1018,-2,60749,58448,-2301,-4
Chattisgarh,3651,3635,-16,0,4169,3887,-282,-7
Gujarat,16590,16590,0,0,16590,16590,0,0
Madhya Pradesh,10465,10453,-13,0,10465,10453,-13,0
Maharashtra,20310,18248,-2062,-10,22542,22494,-48,0
Daman & Diu ,349,349,0,0,351,351,0,0
Dadar Nagar Haveli,790,790,0,0,790,790,0,0
Goa,542,517,-25,-5,559,558,-1,0
Western Region,48530,46392,-2138,-4,49860,49788,-72,0
Andhra Pradesh,7768,7750,-18,0,8063,8000,-63,-1
Telangana,7557,7538,-19,0,9522,9500,-22,0
Karnataka,8404,8404,0,0,9992,9987,-5,0
Kerala,3745,3535,-211,-6,3889,3862,-27,-1
Tamil Nadu,13522,13485,-38,0,15001,14975,-26,0
Puducherry,371,369,-2,0,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,39142,38905,-237,-1,42770,42535,-235,-1
Bihar,4521,4515,-6,0,4521,4515,-6,0
DVC,2573,2573,0,0,2785,2749,-36,-1
Jharkhand,1206,1206,0,0,1260,1260,0,0
Odisha,4370,4370,0,0,4370,4370,0,0
West Bengal ,7785,7777,-8,0,8137,8114,-23,0
Sikkim,90,90,0,0,91,91,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,19850,19836,-14,0,20274,20208,-66,0
Arunachal Pradesh,145,139,-6,-4,145,145,0,0
Assam,1822,1745,-77,-4,1822,1745,-77,-4
Manipur,174,170,-4,-2,174,170,-4,-2
Meghalaya,300,300,0,0,325,325,0,0
Mizoram,88,86,-2,-3,88,86,-2,-3
Nagaland,137,135,-2,-1,147,146,-1,-1
Tripura,339,327,-12,-4,342,342,0,0
North-Eastern Region,2596,2499,-97,-4,2629,2520,-109,-4
All India ,162027,157394,-4633,-3,164066,160752,-3314,-2
