State /System /Region,August 2018-Peak Demand-( MW ),August 2018-Peak Met-( MW ),August 2018-Surplus / Deficit (-)-( MW ),August 2018-Surplus / Deficit (-)-( % ),April 2018-August 2018-Peak Demand-( MW ),April 2018-August 2018-Peak Met-( MW ),April 2018-August 2018-Surplus / Deficit (-)-( MW ),April 2018-August 2018-Surplus / Deficit (-)-( % )
Chandigarh,338,338,0,0,369,369,0,0
Delhi,5937,5937,0,0,7016,7016,0,0
Haryana,9415,9415,0,0,10270,10270,0,0
Himachal Pradesh,1479,1479,0,0,1479,1479,0,0
Jammu & Kashmir,2845,2276,-569,-20,2945,2356,-589,-20
Punjab,12012,12012,0,0,12638,12638,0,0
Rajasthan,11354,11354,0,0,11698,11698,0,0
Uttar Pradesh,19086,19086,0,0,20498,20062,-436,-2
Uttarakhand,2096,2096,0,0,2143,2143,0,0
Northern Region,58523,57975,-548,-1,63166,61726,-1440,-2
Chattisgarh,4140,4136,-4,0,4140,4136,-4,0
Gujarat,16717,16705,-12,0,17053,16705,-348,-2
Madhya Pradesh,8775,8775,0,0,8775,8775,0,0
Maharashtra,20764,20757,-7,0,23395,23254,-141,-1
Daman & Diu ,347,347,0,0,351,351,0,0
Dadar Nagar Haveli,807,804,-3,0,807,804,-3,0
Goa,538,535,-3,-1,562,562,0,0
Western Region,49629,49629,0,0,53841,52442,-1399,-3
Andhra Pradesh,8713,8710,-3,0,9253,9249,-4,0
Telangana,10219,10198,-21,0,10429,10429,0,0
Karnataka,9486,9464,-23,0,10690,10688,-2,0
Kerala,3550,3342,-208,-6,4050,3997,-53,-1
Tamil Nadu,14734,14701,-34,0,15029,14981,-47,0
Puducherry,391,382,-8,-2,420,400,-19,-5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,44630,44617,-13,0,45946,45684,-262,-1
Bihar,4999,4910,-89,-2,4999,4931,-68,-1
DVC,2717,2717,0,0,2874,2874,0,0
Jharkhand,1248,1248,0,0,1339,1284,-55,-4
Odisha,5357,5357,0,0,5357,5357,0,0
West Bengal ,8510,8415,-95,-1,9130,9123,-7,0
Sikkim,89,89,0,0,90,90,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,22470,22290,-180,-1,22470,22290,-180,-1
Arunachal Pradesh,136,133,-3,-2,138,133,-5,-4
Assam,1834,1795,-39,-2,1863,1795,-68,-4
Manipur,177,175,-2,-1,193,186,-7,-4
Meghalaya,325,325,0,0,371,368,-2,-1
Mizoram,99,97,-2,-2,103,98,-4,-4
Nagaland,134,133,-2,-1,156,133,-23,-15
Tripura,292,287,-5,-2,298,288,-10,-3
North-Eastern Region,2967,2795,-172,-6,2967,2798,-169,-6
All India ,172756,170182,-2574,-1,172756,170765,-1991,-1
