State /System /Region,July 2018-Peak Demand-( MW ),July 2018-Peak Met-( MW ),July 2018-Surplus / Deficit (-)-( MW ),July 2018-Surplus / Deficit (-)-( % ),April 2018-July 2018-Peak Demand-( MW ),April 2018-July 2018-Peak Met-( MW ),April 2018-July 2018-Surplus / Deficit (-)-( MW ),April 2018-July 2018-Surplus / Deficit (-)-( % )
Chandigarh,368,368,0,0,369,369,0,0
Delhi,7016,7016,0,0,7016,7016,0,0
Haryana,10270,10270,0,0,10270,10270,0,0
Himachal Pradesh,1471,1471,0,0,1474,1474,0,0
Jammu & Kashmir,2642,2113,-529,-20,2945,2356,-589,-20
Punjab,12638,12638,0,0,12638,12638,0,0
Rajasthan,11057,11057,0,0,11698,11698,0,0
Uttar Pradesh,19880,19353,-527,-3,20498,20062,-436,-2
Uttarakhand,2143,2143,0,0,2143,2143,0,0
Northern Region,63166,61726,-1440,-2,63166,61726,-1440,-2
Chattisgarh,3977,3654,-323,-8,3977,3718,-259,-7
Gujarat,14590,14569,-21,0,17053,16327,-726,-4
Madhya Pradesh,7711,7664,-47,-1,8764,8745,-19,0
Maharashtra,19327,19327,0,0,23395,23254,-141,-1
Daman & Diu ,351,351,0,0,351,351,0,0
Dadar Nagar Haveli,778,778,0,0,778,778,0,0
Goa,497,493,-4,-1,562,562,0,0
Western Region,44879,44574,-306,-1,53841,52442,-1399,-3
Andhra Pradesh,8558,8550,-8,0,9253,9249,-4,0
Telangana,10429,10429,0,0,10429,10429,0,0
Karnataka,9509,9484,-25,0,10690,10688,-2,0
Kerala,3657,3489,-168,-5,4050,3997,-53,-1
Tamil Nadu,15029,14929,-100,-1,15029,14981,-47,0
Puducherry,408,389,-19,-5,420,400,-19,-5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,44991,44719,-272,-1,45946,45684,-262,-1
Bihar,4956,4931,-25,-1,4956,4931,-25,-1
DVC,2874,2874,0,0,2874,2874,0,0
Jharkhand,1339,1245,-94,-7,1339,1284,-55,-4
Odisha,4526,4526,0,0,4652,4652,0,0
West Bengal ,9130,9123,-7,0,9130,9123,-7,0
Sikkim,81,81,0,0,90,90,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,22457,21790,-667,-3,22457,21790,-667,-3
Arunachal Pradesh,130,128,-2,-2,138,133,-5,-4
Assam,1863,1776,-87,-5,1863,1776,-87,-5
Manipur,174,171,-3,-2,193,186,-7,-4
Meghalaya,334,332,-2,-1,371,368,-2,-1
Mizoram,101,98,-2,-2,103,98,-4,-4
Nagaland,133,126,-7,-5,156,129,-26,-17
Tripura,298,288,-10,-3,298,288,-10,-3
North-Eastern Region,2899,2798,-101,-3,2899,2798,-101,-3
All India ,170076,167798,-2278,-1,172381,170765,-1617,-1
