State /System /Region,June 2018-Peak Demand-( MW ),June 2018-Peak Met-( MW ),June 2018-Surplus / Deficit (-)-( MW ),June 2018-Surplus / Deficit (-)-( % ),April 2018-June 2018-Peak Demand-( MW ),April 2018-June 2018-Peak Met-( MW ),April 2018-June 2018-Surplus / Deficit (-)-( MW ),April 2018-June 2018-Surplus / Deficit (-)-( % )
Chandigarh,369,369,0,0,369,369,0,0
Delhi,6937,6934,-3,0,6937,6934,-3,0
Haryana,10050,10050,0,0,10050,10050,0,0
Himachal Pradesh,1474,1474,0,0,1474,1474,0,0
Jammu & Kashmir,2746,2197,-549,-20,2945,2356,-589,-20
Punjab,12377,12377,0,0,12377,12377,0,0
Rajasthan,11698,11698,0,0,11698,11698,0,0
Uttar Pradesh,20498,20062,-436,-2,20498,20062,-436,-2
Uttarakhand,2134,2134,0,0,2134,2134,0,0
Northern Region,61235,60715,-520,-1,61235,60715,-520,-1
Chattisgarh,3722,3718,-4,0,3722,3718,-4,0
Gujarat,16404,16327,-77,-1,17053,16327,-726,-4
Madhya Pradesh,8389,8366,-23,0,8764,8745,-19,0
Maharashtra,21773,21703,-70,0,23395,23254,-141,-1
Daman & Diu ,351,351,0,0,351,351,0,0
Dadar Nagar Haveli,778,778,0,0,778,778,0,0
Goa,494,493,-1,0,562,562,0,0
Western Region,51089,50922,-167,0,53841,52442,-1399,-3
Andhra Pradesh,9215,9188,-27,0,9253,9249,-4,0
Telangana,7647,7616,-31,0,9125,9125,0,0
Karnataka,9008,8991,-17,0,10690,10688,-2,0
Kerala,3633,3533,-100,-3,4050,3997,-53,-1
Tamil Nadu,14870,14851,-20,0,14981,14981,0,0
Puducherry,399,395,-4,-1,420,400,-19,-5
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,43329,42658,-671,-2,45946,45684,-262,-1
Bihar,4900,4900,0,0,4900,4900,0,0
DVC,2700,2700,0,0,2799,2760,-39,-1
Jharkhand,1198,1198,0,0,1284,1284,0,0
Odisha,4652,4652,0,0,4652,4652,0,0
West Bengal ,8633,8603,-30,0,8906,8899,-7,0
Sikkim,78,78,0,0,90,90,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,21516,21487,-29,0,21516,21487,-29,0
Arunachal Pradesh,138,133,-5,-4,138,133,-5,-4
Assam,1782,1750,-32,-2,1782,1750,-32,-2
Manipur,179,172,-8,-4,193,186,-7,-4
Meghalaya,326,326,0,0,371,368,-2,-1
Mizoram,103,93,-9,-9,103,93,-9,-9
Nagaland,129,129,0,0,156,129,-26,-17
Tripura,281,276,-5,-2,281,276,-5,-2
North-Eastern Region,2640,2564,-76,-3,2709,2611,-98,-4
All India ,172381,169942,-2439,-1,172381,170765,-1617,-1
