State /System /Region,March 2018-Peak Demand-( MW ),March 2018-Peak Met-( MW ),March 2018-Surplus / Deficit (-)-( MW ),March 2018-Surplus / Deficit (-)-( % ),April 2017-March 2018-Peak Demand-( MW ),April 2017-March 2018-Peak Met-( MW ),April 2017-March 2018-Surplus / Deficit (-)-( MW ),April 2017-March 2018-Surplus / Deficit (-)-( % )
Chandigarh,232,232,0,0,363,363,0,0
Delhi,3766,3766,0,0,6553,6526,-27,0
Haryana,6815,6815,0,0,9671,9539,-132,-1
Himachal Pradesh,1494,1494,0,0,1594,1594,0,0
Jammu & Kashmir,2703,2162,-541,-20,2899,2319,-580,-20
Punjab,6687,6687,0,0,11705,11705,0,0
Rajasthan,10723,10723,0,0,11722,11564,-158,-1
Uttar Pradesh,15789,15223,-566,-4,20274,18061,-2213,-11
Uttarakhand,1886,1886,0,0,2149,2149,0,0
Northern Region,44348,43777,-571,-1,60749,58448,-2301,-4
Chattisgarh,3706,3706,0,0,4169,3887,-282,-7
Gujarat,14820,14782,-38,0,16590,16590,0,0
Madhya Pradesh,9786,9765,-21,0,12338,12301,-37,0
Maharashtra,22486,22422,-64,0,22542,22494,-48,0
Daman & Diu ,350,350,0,0,362,362,0,0
Dadar Nagar Haveli,766,766,0,0,790,790,0,0
Goa,522,521,-1,0,559,558,-1,0
Western Region,49031,48924,-107,0,50477,50085,-392,-1
Andhra Pradesh,8993,8983,-10,0,8993,8983,-10,0
Telangana,10298,10284,-14,0,10298,10284,-14,0
Karnataka,10857,10802,-56,-1,10857,10802,-56,-1
Kerala,3892,3870,-22,-1,3892,3870,-22,-1
Tamil Nadu,14819,14757,-62,0,15001,14975,-26,0
Puducherry,370,370,0,0,390,387,-3,-1
Lakshadweep,8,8,0,0,9,9,0,0
Southern Region,47385,47210,-175,0,47385,47210,-175,0
Bihar,4482,4469,-13,0,4521,4515,-6,0
DVC,2896,2896,0,0,2896,2896,0,0
Jharkhand,1205,1162,-43,-4,1332,1260,-72,-5
Odisha,4652,4402,-250,-5,4652,4402,-250,-5
West Bengal ,8095,8083,-12,0,8137,8114,-23,0
Sikkim,88,88,0,0,96,96,0,0
Andaman- Nicobar,58,54,-4,-7,58,54,-4,-7
Eastern Region,20794,20485,-309,-2,20794,20485,-309,-2
Arunachal Pradesh,129,124,-5,-4,145,145,0,0
Assam,1472,1446,-26,-2,1822,1745,-77,-4
Manipur,185,178,-7,-4,202,195,-7,-3
Meghalaya,307,307,0,0,369,368,-1,0
Mizoram,100,91,-9,-9,105,96,-9,-8
Nagaland,148,120,-28,-19,155,146,-9,-6
Tripura,293,292,-1,0,342,342,0,0
North-Eastern Region,2283,2250,-33,-1,2629,2520,-109,-4
All India ,162263,160364,-1899,-1,164066,160752,-3314,-2
