State /System /Region,September 2018-Peak Demand-( MW ),September 2018-Peak Met-( MW ),September 2018-Surplus / Deficit (-)-( MW ),September 2018-Surplus / Deficit (-)-( % ),April 2018-September 2018-Peak Demand-( MW ),April 2018-September 2018-Peak Met-( MW ),April 2018-September 2018-Surplus / Deficit (-)-( MW ),April 2018-September 2018-Surplus / Deficit (-)-( % )
Chandigarh,293,293,0,0,369,369,0,0
Delhi,5358,5358,0,0,7016,7016,0,0
Haryana,9008,9008,0,0,10270,10270,0,0
Himachal Pradesh,1466,1466,0,0,1479,1479,0,0
Jammu & Kashmir,2951,2361,590,20,2951,2361,590,20
Punjab,11405,11405,0,0,12638,12638,0,0
Rajasthan,10612,10612,0,0,11698,11698,0,0
Uttar Pradesh,18345.6,18121,224.6,1.2,20498.1,20062,436.1,2.1
Uttarakhand,1996,1996,0,0,2143,2143,0,0
Northern Region,56407,55649,758,1.3,63166,61726,1440,2.3
Chattisgarh,4403.7,4075.2,328.4,7.5,4403.7,4136,267.7,6.1
Gujarat,16962.9,16962.9,0,0,17053.1,16962.9,90.2,0.5
Madhya Pradesh,8811.4,8770.7,40.7,0.5,8811.4,8775,36.4,0.4
Maharashtra,22454.6,22348.7,105.9,0.5,23395.4,23254,141.3,0.6
Daman & Diu ,356.7,356,0.7,0.2,356.7,356,0.7,0.2
Dadar Nagar Haveli,815.6,815,0.6,0.1,815.6,815,0.6,0.1
Goa,595.8,595.8,0,0,595.8,595.8,0,0
Western Region,52933.5,52895.2,38.2,0.1,53840.6,52895.2,945.3,1.8
Andhra Pradesh,9435.1,9416,19.1,0.2,9435.1,9416,19.1,0.2
Telangana,10815.3,10815.3,0,0,10815.3,10815.3,0,0
Karnataka,10103,10090.2,12.8,0.1,10689.8,10688.3,1.6,0
Kerala,3888.3,3637.5,250.8,6.4,4050.1,3997.4,52.8,1.3
Tamil Nadu,14556.5,14553.1,3.3,0,15028.7,14981.3,47.4,0.3
Puducherry,389.6,372.2,17.3,4.5,419.5,400.4,19.1,4.6
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,45541.6,45428,113.6,0.2,45946.1,45684,262.1,0.6
Bihar,5050.2,5045.2,5,0.1,5050.2,5045.2,5,0.1
DVC,2640.8,2640.8,0,0,2874,2874,0,0
Jharkhand,1233,1233,0,0,1339,1283.7,55.3,4.1
Odisha,4905.8,4905.8,0,0,5356.7,5356.7,0,0
West Bengal ,8644,8639,5,0.1,9130,9123,7,0.1
Sikkim,78,78,0,0,90,90,0,0
Andaman- Nicobar,58,54,4,6.9,58,54,4,6.9
Eastern Region,22109.5,22099.7,9.8,0,22470.4,22290,180.4,0.8
Arunachal Pradesh,131.9,130,1.9,1.5,138.1,133,5.1,3.7
Assam,1865.3,1809,56.3,3,1865.3,1809,56.3,3
Manipur,184.4,182,2.4,1.3,192.9,186,6.9,3.6
Meghalaya,317.4,317.4,0,0,370.6,368.2,2.4,0.7
Mizoram,95.5,93.3,2.2,2.3,102.6,98.4,4.2,4.1
Nagaland,142.1,137.5,4.5,3.2,155.7,137.5,18.2,11.7
Tripura,296,293,3,1,298.1,293,5.1,1.7
North-Eastern Region,2920.7,2850,70.7,2.4,2966.6,2850,116.6,3.9
All India ,177022.3,175527.9,1494.3,0.8,177022.3,175527.9,1494.3,0.8
